date,Unnamed: 0,open,volume,ticker,change
1993-01-25,0,2.375,436000,AN,
1993-02-01,1,2.625,445200,AN,10.526315789473683
1993-02-08,2,2.5,190000,AN,-4.761904761904762
1993-02-15,3,2.375,104200,AN,-5.0
1993-02-22,4,2.5,75600,AN,5.263157894736842
1993-03-01,5,2.4375,230000,AN,-2.5
1993-03-08,6,2.5,122200,AN,2.564102564102564
1993-03-15,7,2.5,78400,AN,0.0
1993-03-22,8,2.3125,118400,AN,-7.5
1993-03-29,9,2.4375,170800,AN,5.405405405405405
1993-04-05,10,2.0,41600,AN,-17.94871794871795
1993-04-12,11,2.0625,47000,AN,3.125
1993-04-19,12,1.90625,76000,AN,-7.575757575757576
1993-04-26,13,1.875,105600,AN,-1.639344262295082
1993-05-03,14,1.8125,259000,AN,-3.3333333333333335
1993-05-10,15,1.75,62000,AN,-3.4482758620689653
1993-05-17,16,1.75,44200,AN,0.0
1993-05-24,17,1.9375,296200,AN,10.714285714285714
1993-05-31,18,2.125,110400,AN,9.67741935483871
1993-06-07,19,1.9375,160400,AN,-8.823529411764707
1993-06-14,20,1.75,99000,AN,-9.67741935483871
1993-06-21,21,2.0625,194600,AN,17.857142857142858
1993-06-28,22,2.0,109000,AN,-3.0303030303030303
1993-07-05,23,1.78125,79200,AN,-10.9375
1993-07-12,24,1.75,289400,AN,-1.7543859649122806
1993-07-19,25,2.0,85000,AN,14.285714285714285
1993-07-26,26,1.9375,222000,AN,-3.125
1993-08-02,27,1.875,159600,AN,-3.225806451612903
1993-08-09,28,1.8125,572400,AN,-3.3333333333333335
1993-08-16,29,2.0,416200,AN,10.344827586206897
1993-08-23,30,2.0,187800,AN,0.0
1993-08-30,31,2.0,403000,AN,0.0
1993-09-06,32,1.9375,54000,AN,-3.125
1993-09-13,33,1.90625,195200,AN,-1.6129032258064515
1993-09-20,34,1.9375,249200,AN,1.639344262295082
1993-09-27,35,1.9375,160600,AN,0.0
1993-10-04,36,1.8125,116200,AN,-6.451612903225806
1993-10-11,37,1.6875,172600,AN,-6.896551724137931
1993-10-18,38,1.5625,609600,AN,-7.4074074074074066
1993-10-25,39,1.5,460200,AN,-4.0
1993-11-01,40,1.75,548000,AN,16.666666666666664
1993-11-08,41,1.875,102600,AN,7.142857142857142
1993-11-15,42,1.9375,253200,AN,3.3333333333333335
1993-11-22,43,1.6875,74400,AN,-12.903225806451612
1993-11-29,44,1.6875,250400,AN,0.0
1993-12-06,45,1.75,82000,AN,3.7037037037037033
1993-12-13,46,1.75,211400,AN,0.0
1993-12-20,47,1.6875,225200,AN,-3.571428571428571
1993-12-27,48,1.5625,303800,AN,-7.4074074074074066
1994-01-03,49,1.6875,25200,AN,8.0
1994-01-10,50,1.625,84800,AN,-3.7037037037037033
1994-01-17,51,1.625,315400,AN,0.0
1994-01-24,52,1.6875,257800,AN,3.8461538461538463
1994-01-31,53,1.75,89000,AN,3.7037037037037033
1994-02-07,54,1.59375,274000,AN,-8.928571428571429
1994-02-14,55,1.5625,164000,AN,-1.9607843137254901
1994-02-21,56,1.625,95200,AN,4.0
1994-02-28,57,1.6875,146000,AN,3.8461538461538463
1994-03-07,58,1.5625,44400,AN,-7.4074074074074066
1994-03-14,59,1.59375,115800,AN,2.0
1994-03-21,60,1.46875,268000,AN,-7.8431372549019605
1994-03-28,61,1.4375,190600,AN,-2.127659574468085
