date,Unnamed: 0,open,volume,ticker,change
1996-09-23,0,11.0,16096200,ANF,
1996-09-30,1,11.5625,4215400,ANF,5.113636363636364
1996-10-07,2,11.0625,2217800,ANF,-4.324324324324325
1996-10-14,3,11.375,1537000,ANF,2.824858757062147
1996-10-21,4,13.0,1089400,ANF,14.285714285714285
1996-10-28,5,11.875,1798000,ANF,-8.653846153846153
1996-11-04,6,11.0,1431800,ANF,-7.368421052631578
1996-11-11,7,11.875,1270800,ANF,7.954545454545454
1996-11-18,8,10.5625,3873000,ANF,-11.052631578947368
1996-11-25,9,9.4375,318800,ANF,-10.650887573964498
1996-12-02,10,9.3125,902000,ANF,-1.3245033112582782
1996-12-09,11,9.8125,234200,ANF,5.369127516778524
1996-12-16,12,9.25,777600,ANF,-5.7324840764331215
1996-12-23,13,8.25,962800,ANF,-10.81081081081081
1996-12-30,14,8.3125,366600,ANF,0.7575757575757576
1997-01-06,15,8.0625,4369800,ANF,-3.007518796992481
1997-01-13,16,8.125,931000,ANF,0.7751937984496124
1997-01-20,17,7.875,511800,ANF,-3.076923076923077
1997-01-27,18,7.5,1680400,ANF,-4.761904761904762
1997-02-03,19,6.8125,2303200,ANF,-9.166666666666666
1997-02-10,20,6.8125,2231000,ANF,0.0
1997-02-17,21,7.5,1521800,ANF,10.091743119266056
1997-02-24,22,8.3125,1805600,ANF,10.833333333333334
1997-03-03,23,8.625,1382400,ANF,3.7593984962406015
1997-03-10,24,8.3125,589200,ANF,-3.6231884057971016
1997-03-17,25,8.125,561800,ANF,-2.2556390977443606
1997-03-24,26,8.0,356400,ANF,-1.5384615384615385
1997-03-31,27,7.625,621400,ANF,-4.6875
1997-04-07,28,7.5,279200,ANF,-1.639344262295082
1997-04-14,29,7.0625,1801600,ANF,-5.833333333333333
1997-04-21,30,6.6875,1810200,ANF,-5.3097345132743365
1997-04-28,31,7.0,606000,ANF,4.672897196261682
1997-05-05,32,7.625,398600,ANF,8.928571428571429
1997-05-12,33,8.0,1797600,ANF,4.918032786885246
1997-05-19,34,9.125,1009200,ANF,14.0625
1997-05-26,35,8.9375,723200,ANF,-2.054794520547945
1997-06-02,36,8.75,1977000,ANF,-2.097902097902098
1997-06-09,37,9.25,515400,ANF,5.714285714285714
1997-06-16,38,9.375,367000,ANF,1.3513513513513513
1997-06-23,39,9.0,537200,ANF,-4.0
1997-06-30,40,8.75,1228600,ANF,-2.7777777777777777
1997-07-07,41,9.9375,899800,ANF,13.571428571428571
1997-07-14,42,9.875,1807600,ANF,-0.628930817610063
1997-07-21,43,9.4375,479600,ANF,-4.430379746835443
1997-07-28,44,10.0,817800,ANF,5.960264900662252
1997-08-04,45,9.75,1313000,ANF,-2.5
1997-08-11,46,10.21875,3160000,ANF,4.807692307692308
1997-08-18,47,10.4375,712200,ANF,2.1406727828746175
1997-08-25,48,11.0,1036800,ANF,5.389221556886228
1997-09-01,49,12.0625,682000,ANF,9.659090909090908
1997-09-08,50,12.5625,964400,ANF,4.145077720207254
1997-09-15,51,13.375,701600,ANF,6.467661691542288
1997-09-22,52,13.5625,1438000,ANF,1.4018691588785046
1997-09-29,53,12.875,402400,ANF,-5.0691244239631335
1997-10-06,54,13.3125,592000,ANF,3.3980582524271843
1997-10-13,55,12.0,469800,ANF,-9.859154929577464
1997-10-20,56,11.625,921200,ANF,-3.125
1997-10-27,57,11.625,1289600,ANF,0.0
1997-11-03,58,12.9375,534200,ANF,11.29032258064516
1997-11-10,59,12.9375,2462800,ANF,0.0
1997-11-17,60,15.0625,2151800,ANF,16.425120772946862
1997-11-24,61,16.09375,1535400,ANF,6.846473029045644
1997-12-01,62,15.09375,1923000,ANF,-6.213592233009709
1997-12-08,63,15.5,1850400,ANF,2.691511387163561
1997-12-15,64,16.0,1501000,ANF,3.225806451612903
1997-12-22,65,14.34375,491400,ANF,-10.3515625
1997-12-29,66,15.03125,867800,ANF,4.793028322440087
1998-01-05,67,15.4375,1125000,ANF,2.7027027027027026
1998-01-12,68,15.5,655200,ANF,0.4048582995951417
1998-01-19,69,16.5,571200,ANF,6.451612903225806
1998-01-26,70,16.0,1448600,ANF,-3.0303030303030303
1998-02-02,71,15.6875,948000,ANF,-1.953125
1998-02-09,72,16.75,2110400,ANF,6.772908366533864
1998-02-16,73,19.375,5726400,ANF,15.671641791044777
1998-02-23,74,17.75,1282800,ANF,-8.38709677419355
1998-03-02,75,17.1875,1323200,ANF,-3.169014084507042
1998-03-09,76,18.90625,2434600,ANF,10.0
1998-03-16,77,21.40625,3336200,ANF,13.223140495867769
1998-03-23,78,22.875,2469600,ANF,6.86131386861314
1998-03-30,79,21.28125,2118400,ANF,-6.967213114754098
1998-04-06,80,21.0,2049600,ANF,-1.3215859030837005
1998-04-13,81,22.84375,1603000,ANF,8.779761904761903
1998-04-20,82,20.96875,2144400,ANF,-8.207934336525307
1998-04-27,83,21.21875,2472200,ANF,1.1922503725782414
1998-05-04,84,22.625,2878200,ANF,6.62739322533137
1998-05-11,85,22.5,13373200,ANF,-0.5524861878453038
1998-05-18,86,21.0625,6834200,ANF,-6.388888888888888
1998-05-25,87,20.875,4774800,ANF,-0.8902077151335311
1998-06-01,88,21.0,4654800,ANF,0.5988023952095809
1998-06-08,89,21.3125,8142200,ANF,1.488095238095238
1998-06-15,90,20.625,5870800,ANF,-3.225806451612903
1998-06-22,91,20.03125,7508200,ANF,-2.878787878787879
1998-06-29,92,21.46875,3854000,ANF,7.17628705148206
1998-07-06,93,23.0,4335800,ANF,7.132459970887918
1998-07-13,94,22.5,6196200,ANF,-2.1739130434782608
1998-07-20,95,24.25,4601800,ANF,7.777777777777778
1998-07-27,96,22.875,2619200,ANF,-5.670103092783505
