date,Unnamed: 0,open,volume,ticker,change
1999-11-29,0,25.75,1834600,ATI,
1999-12-06,1,24.3125,2273300,ATI,-5.582524271844661
1999-12-13,2,22.375,4956400,ATI,-7.969151670951156
1999-12-20,3,21.75,1699900,ATI,-2.793296089385475
1999-12-27,4,21.1875,1052300,ATI,-2.586206896551724
2000-01-03,5,22.3125,2130600,ATI,5.3097345132743365
2000-01-10,6,23.4375,2013800,ATI,5.042016806722689
2000-01-17,7,23.0625,1324500,ATI,-1.6
2000-01-24,8,22.75,1200700,ATI,-1.3550135501355014
2000-01-31,9,21.0625,2325000,ATI,-7.417582417582418
2000-02-07,10,18.5625,2024200,ATI,-11.869436201780417
2000-02-14,11,17.0625,1450000,ATI,-8.080808080808081
2000-02-21,12,17.25,1576500,ATI,1.098901098901099
2000-02-28,13,16.6875,1752000,ATI,-3.260869565217391
2000-03-06,14,18.1875,2236200,ATI,8.98876404494382
2000-03-13,15,17.9375,2459600,ATI,-1.3745704467353952
2000-03-20,16,18.375,1806300,ATI,2.4390243902439024
2000-03-27,17,18.5,1496300,ATI,0.6802721088435374
2000-04-03,18,20.0625,1446100,ATI,8.445945945945946
2000-04-10,19,20.25,1318900,ATI,0.9345794392523363
2000-04-17,20,19.8125,1316800,ATI,-2.1604938271604937
2000-04-24,21,20.625,2386800,ATI,4.100946372239748
2000-05-01,22,24.25,1705600,ATI,17.575757575757574
2000-05-08,23,25.0,1334900,ATI,3.0927835051546393
2000-05-15,24,25.5625,2319000,ATI,2.25
2000-05-22,25,26.125,2123500,ATI,2.2004889975550124
2000-05-29,26,23.1875,1573400,ATI,-11.24401913875598
2000-06-05,27,23.0625,968800,ATI,-0.5390835579514826
2000-06-12,28,21.25,962800,ATI,-7.8590785907859075
2000-06-19,29,20.25,936800,ATI,-4.705882352941177
2000-06-26,30,19.75,1345400,ATI,-2.4691358024691357
2000-07-03,31,18.125,743800,ATI,-8.227848101265822
2000-07-10,32,19.5,534200,ATI,7.586206896551724
2000-07-17,33,20.0,575300,ATI,2.564102564102564
2000-07-24,34,20.0,1141500,ATI,0.0
2000-07-31,35,20.125,1790100,ATI,0.625
2000-08-07,36,20.9375,871600,ATI,4.037267080745342
2000-08-14,37,21.5625,460500,ATI,2.9850746268656714
2000-08-21,38,21.75,583900,ATI,0.8695652173913043
2000-08-28,39,22.0625,472700,ATI,1.4367816091954022
2000-09-04,40,21.6875,753100,ATI,-1.69971671388102
2000-09-11,41,20.625,1738500,ATI,-4.899135446685879
2000-09-18,42,19.625,1954100,ATI,-4.848484848484849
2000-09-25,43,18.375,1167500,ATI,-6.369426751592357
2000-10-02,44,18.25,919700,ATI,-0.6802721088435374
2000-10-09,45,17.875,627000,ATI,-2.054794520547945
2000-10-16,46,18.5625,713000,ATI,3.8461538461538463
2000-10-23,47,18.9375,644600,ATI,2.0202020202020203
2000-10-30,48,19.25,639900,ATI,1.65016501650165
2000-11-06,49,20.0,562900,ATI,3.896103896103896
2000-11-13,50,19.4375,1078500,ATI,-2.8125
2000-11-20,51,18.3125,858500,ATI,-5.787781350482315
2000-11-27,52,19.9375,781600,ATI,8.873720136518772
2000-12-04,53,20.1875,1163700,ATI,1.2539184952978055
2000-12-11,54,18.75,1508200,ATI,-7.120743034055728
2000-12-18,55,16.6875,3957500,ATI,-11.0
2000-12-25,56,14.6875,1381600,ATI,-11.985018726591761
2001-01-01,57,15.9375,2248300,ATI,8.51063829787234
2001-01-08,58,14.5625,2419300,ATI,-8.627450980392156
2001-01-15,59,13.5625,1585700,ATI,-6.866952789699571
2001-01-22,60,14.5625,2146200,ATI,7.373271889400922
2001-01-29,61,16.290000915527347,1243300,ATI,11.86266723108908
2001-02-05,62,16.899999618530273,774900,ATI,3.744620434130767
2001-02-12,63,17.209999084472653,1651000,ATI,1.8343164079274616
2001-02-19,64,17.510000228881836,968600,ATI,1.7431793164931237
2001-02-26,65,17.450000762939453,1615100,ATI,-0.34265828188520986
2001-03-05,66,17.93000030517578,770900,ATI,2.750713588825495
2001-03-12,67,18.36000061035156,1031600,ATI,2.398216942872283
2001-03-19,68,17.229999542236328,1143000,ATI,-6.154689708877921
2001-03-26,69,16.989999771118164,779600,ATI,-1.3929180353710784
2001-04-02,70,17.170000076293945,842700,ATI,1.0594485438532462
2001-04-09,71,17.360000610351562,423400,ATI,1.1065843518541663
2001-04-16,72,18.15999984741211,1834100,ATI,4.60829037404248
2001-04-23,73,17.670000076293945,1142900,ATI,-2.6982366477717314
2001-04-30,74,18.21999931335449,748200,ATI,3.1126159291783013
2001-05-07,75,18.0,1412000,ATI,-1.2074606017862932
