date,Unnamed: 0,open,volume,ticker,change
1993-01-25,0,7.015625,8055200,AVP,
1993-02-01,1,7.25,11755200,AVP,3.34075723830735
1993-02-08,2,7.453125,5692800,AVP,2.8017241379310347
1993-02-15,3,7.296875,7838400,AVP,-2.0964360587002098
1993-02-22,4,7.109375,11045600,AVP,-2.569593147751606
1993-03-01,5,7.5,12399200,AVP,5.4945054945054945
1993-03-08,6,7.84375,9558400,AVP,4.583333333333333
1993-03-15,7,8.0,6922400,AVP,1.9920318725099602
1993-03-22,8,7.875,13017600,AVP,-1.5625
1993-03-29,9,7.609375,8052000,AVP,-3.373015873015873
1993-04-05,10,7.671875,7752000,AVP,0.8213552361396305
1993-04-12,11,7.484375,10930400,AVP,-2.4439918533604885
1993-04-19,12,7.484375,12715200,AVP,0.0
1993-04-26,13,6.828125,11248000,AVP,-8.768267223382047
1993-05-03,14,6.953125,7368800,AVP,1.8306636155606408
1993-05-10,15,6.796875,6960000,AVP,-2.247191011235955
1993-05-17,16,6.78125,9907200,AVP,-0.22988505747126436
1993-05-24,17,6.875,7107200,AVP,1.3824884792626728
1993-05-31,18,6.953125,3215200,AVP,1.1363636363636365
1993-06-07,19,6.859375,9676000,AVP,-1.348314606741573
1993-06-14,20,6.671875,7341600,AVP,-2.733485193621868
1993-06-21,21,6.90625,8436000,AVP,3.51288056206089
1993-06-28,22,7.109375,7074400,AVP,2.941176470588235
1993-07-05,23,7.15625,5097600,AVP,0.6593406593406593
1993-07-12,24,7.328125,8400800,AVP,2.4017467248908297
1993-07-19,25,7.125,9901600,AVP,-2.771855010660981
1993-07-26,26,7.140625,9905600,AVP,0.21929824561403508
1993-08-02,27,7.09375,5492800,AVP,-0.6564551422319475
1993-08-09,28,7.125,6565600,AVP,0.4405286343612335
1993-08-16,29,7.203125,9487200,AVP,1.0964912280701753
1993-08-23,30,7.421875,9331200,AVP,3.036876355748373
1993-08-30,31,7.328125,23636800,AVP,-1.263157894736842
1993-09-06,32,6.75,29573600,AVP,-7.889125799573561
1993-09-13,33,6.28125,18210400,AVP,-6.944444444444445
1993-09-20,34,6.46875,11352800,AVP,2.9850746268656714
1993-09-27,35,6.3125,9143200,AVP,-2.4154589371980677
1993-10-04,36,6.546875,12685600,AVP,3.7128712871287126
1993-10-11,37,6.296875,17243200,AVP,-3.8186157517899764
1993-10-18,38,6.421875,36685600,AVP,1.9851116625310175
1993-10-25,39,6.125,14697600,AVP,-4.622871046228711
1993-11-01,40,6.3125,8008000,AVP,3.061224489795918
1993-11-08,41,6.1875,6230400,AVP,-1.9801980198019802
1993-11-15,42,6.125,9187200,AVP,-1.0101010101010102
1993-11-22,43,6.234375,3357600,AVP,1.7857142857142856
1993-11-29,44,6.203125,8480800,AVP,-0.5012531328320802
1993-12-06,45,6.1875,9644800,AVP,-0.2518891687657431
1993-12-13,46,6.21875,17714400,AVP,0.5050505050505051
1993-12-20,47,6.0625,14676000,AVP,-2.512562814070352
1993-12-27,48,5.984375,8518400,AVP,-1.2886597938144329
1994-01-03,49,6.109375,17124000,AVP,2.088772845953003
1994-01-10,50,6.609375,12764000,AVP,8.184143222506394
1994-01-17,51,6.6875,12864000,AVP,1.1820330969267139
1994-01-24,52,6.734375,8576800,AVP,0.7009345794392523
1994-01-31,53,6.8125,21224800,AVP,1.160092807424594
1994-02-07,54,6.875,10830400,AVP,0.9174311926605505
1994-02-14,55,6.8125,12020000,AVP,-0.9090909090909091
1994-02-21,56,7.0,10325600,AVP,2.7522935779816518
1994-02-28,57,7.25,7630400,AVP,3.571428571428571
1994-03-07,58,7.078125,8393600,AVP,-2.3706896551724137
1994-03-14,59,7.140625,9476000,AVP,0.8830022075055187
1994-03-21,60,7.15625,12216800,AVP,0.2188183807439825
1994-03-28,61,7.15625,14220000,AVP,0.0
1994-04-04,62,6.96875,16941600,AVP,-2.6200873362445414
1994-04-11,63,7.421875,11244000,AVP,6.502242152466367
1994-04-18,64,7.40625,13973600,AVP,-0.21052631578947367
1994-04-25,65,7.4375,6428000,AVP,0.42194092827004215
1994-05-02,66,7.453125,10342400,AVP,0.21008403361344538
1994-05-09,67,7.453125,6828000,AVP,0.0
1994-05-16,68,7.234375,7511200,AVP,-2.9350104821802936
1994-05-23,69,7.46875,11296800,AVP,3.2397408207343417
1994-05-30,70,7.375,5856000,AVP,-1.2552301255230125
1994-06-06,71,7.34375,4557600,AVP,-0.423728813559322
1994-06-13,72,7.390625,5260000,AVP,0.6382978723404255
1994-06-20,73,7.453125,10577600,AVP,0.8456659619450317
1994-06-27,74,7.25,6493600,AVP,-2.7253668763102725
1994-07-04,75,7.4375,3690400,AVP,2.586206896551724
1994-07-11,76,7.375,7086400,AVP,-0.8403361344537815
1994-07-18,77,7.296875,5272000,AVP,-1.059322033898305
1994-07-25,78,7.28125,7911200,AVP,-0.21413276231263384
1994-08-01,79,7.078125,8753600,AVP,-2.7896995708154506
1994-08-08,80,7.328125,5776800,AVP,3.532008830022075
1994-08-15,81,7.234375,7695200,AVP,-1.279317697228145
1994-08-22,82,7.390625,5061600,AVP,2.159827213822894
1994-08-29,83,7.484375,6881600,AVP,1.2684989429175475
1994-09-05,84,7.359375,16434400,AVP,-1.6701461377870561
1994-09-12,85,7.484375,8517600,AVP,1.6985138004246285
1994-09-19,86,7.5,14405600,AVP,0.20876826722338201
1994-09-26,87,7.5,5878400,AVP,0.0
1994-10-03,88,7.453125,5719200,AVP,-0.625
1994-10-10,89,7.359375,4873600,AVP,-1.257861635220126
1994-10-17,90,7.5,6258400,AVP,1.910828025477707
1994-10-24,91,7.46875,15391200,AVP,-0.4166666666666667
1994-10-31,92,7.921875,6067200,AVP,6.066945606694561
1994-11-07,93,7.65625,7528800,AVP,-3.353057199211045
1994-11-14,94,7.6875,8169600,AVP,0.40816326530612246
1994-11-21,95,7.8125,7838400,AVP,1.6260162601626018
1994-11-28,96,7.515625,9013600,AVP,-3.8
1994-12-05,97,7.625,8876000,AVP,1.4553014553014554
1994-12-12,98,7.59375,10201600,AVP,-0.4098360655737705
1994-12-19,99,7.859375,10855200,AVP,3.4979423868312756
1994-12-26,100,7.640625,12549600,AVP,-2.783300198807157
1995-01-02,101,7.5,7560000,AVP,-1.8404907975460123
1995-01-09,102,7.359375,25342400,AVP,-1.875
1995-01-16,103,7.0625,14984000,AVP,-4.033970276008493
1995-01-23,104,7.03125,8526400,AVP,-0.4424778761061947
1995-01-30,105,7.15625,12351200,AVP,1.7777777777777777
1995-02-06,106,7.125,9830400,AVP,-0.43668122270742354
1995-02-13,107,7.28125,7866400,AVP,2.1929824561403506
1995-02-20,108,7.25,12258400,AVP,-0.4291845493562232
1995-02-27,109,7.09375,14018400,AVP,-2.1551724137931036
1995-03-06,110,7.28125,30344000,AVP,2.643171806167401
1995-03-13,111,6.84375,13916800,AVP,-6.008583690987124
1995-03-20,112,7.203125,13432000,AVP,5.251141552511415
1995-03-27,113,7.171875,23945600,AVP,-0.43383947939262474
1995-04-03,114,7.5625,7206400,AVP,5.446623093681917
1995-04-10,115,7.5,5786400,AVP,-0.8264462809917356
1995-04-17,116,7.609375,13938400,AVP,1.4583333333333333
1995-04-24,117,7.984375,9325600,AVP,4.9281314168377826
1995-05-01,118,7.890625,6308000,AVP,-1.1741682974559686
1995-05-08,119,7.9375,11116000,AVP,0.594059405940594
1995-05-15,120,7.875,8199200,AVP,-0.7874015748031495
1995-05-22,121,7.921875,6795200,AVP,0.5952380952380952
1995-05-29,122,8.3125,15545600,AVP,4.930966469428008
1995-06-05,123,8.4375,6089600,AVP,1.5037593984962405
1995-06-12,124,8.453125,7645600,AVP,0.1851851851851852
1995-06-19,125,8.640625,13897600,AVP,2.2181146025878005
1995-06-26,126,8.453125,10874400,AVP,-2.1699819168173597
1995-07-03,127,8.375,7896800,AVP,-0.9242144177449169
1995-07-10,128,8.375,9096000,AVP,0.0
1995-07-17,129,8.421875,10622400,AVP,0.5597014925373134
1995-07-24,130,8.5625,6608800,AVP,1.6697588126159555
1995-07-31,131,8.5625,5759200,AVP,0.0
1995-08-07,132,8.734375,9024000,AVP,2.0072992700729926
1995-08-14,133,8.78125,9584800,AVP,0.5366726296958855
1995-08-21,134,8.75,7372800,AVP,-0.3558718861209964
1995-08-28,135,8.75,8193600,AVP,0.0
1995-09-04,136,8.796875,8044800,AVP,0.5357142857142857
1995-09-11,137,9.21875,6540000,AVP,4.7957371225577266
1995-09-18,138,9.296875,14517600,AVP,0.847457627118644
1995-09-25,139,9.21875,24965600,AVP,-0.8403361344537815
1995-10-02,140,8.96875,11037600,AVP,-2.711864406779661
1995-10-09,141,9.0,7412000,AVP,0.34843205574912894
1995-10-16,142,9.109375,6938400,AVP,1.215277777777778
1995-10-23,143,8.953125,12744000,AVP,-1.7152658662092626
1995-10-30,144,8.734375,10034400,AVP,-2.4432809773123907
1995-11-06,145,8.953125,7684800,AVP,2.5044722719141324
1995-11-13,146,8.84375,5941600,AVP,-1.2216404886561953
1995-11-20,147,9.125,6113600,AVP,3.180212014134275
1995-11-27,148,9.125,7155200,AVP,0.0
1995-12-04,149,9.0625,5544000,AVP,-0.684931506849315
1995-12-11,150,9.546875,8329600,AVP,5.344827586206897
1995-12-18,151,9.625,9220000,AVP,0.8183306055646482
1995-12-25,152,9.421875,5259200,AVP,-2.1103896103896105
1996-01-01,153,9.390625,6419200,AVP,-0.33167495854063017
1996-01-08,154,9.359375,7720000,AVP,-0.33277870216306155
1996-01-15,155,9.203125,8457600,AVP,-1.669449081803005
1996-01-22,156,9.15625,9488800,AVP,-0.5093378607809848
1996-01-29,157,9.6875,7548000,AVP,5.802047781569966
1996-02-05,158,10.078125,10864800,AVP,4.032258064516129
1996-02-12,159,10.84375,8733600,AVP,7.596899224806202
1996-02-19,160,10.421875,9461600,AVP,-3.890489913544669
1996-02-26,161,10.484375,8636800,AVP,0.5997001499250375
1996-03-04,162,10.53125,10380800,AVP,0.44709388971684055
1996-03-11,163,10.625,6555200,AVP,0.8902077151335311
1996-03-18,164,10.84375,4674400,AVP,2.0588235294117645
1996-03-25,165,11.0,5478400,AVP,1.440922190201729
1996-04-01,166,10.765625,12018400,AVP,-2.130681818181818
1996-04-08,167,11.40625,9016000,AVP,5.950653120464441
