date,Unnamed: 0,open,volume,ticker,change
1993-01-25,0,10.4375,315400,BBT,
1993-02-01,1,10.375,434600,BBT,-0.5988023952095809
1993-02-08,2,10.3125,219000,BBT,-0.6024096385542169
1993-02-15,3,10.3125,236800,BBT,0.0
1993-02-22,4,10.125,216600,BBT,-1.8181818181818181
1993-03-01,5,10.3125,192600,BBT,1.8518518518518516
1993-03-08,6,10.25,315400,BBT,-0.6060606060606061
1993-03-15,7,11.25,380200,BBT,9.75609756097561
1993-03-22,8,10.8125,189200,BBT,-3.888888888888889
1993-03-29,9,10.875,234000,BBT,0.5780346820809248
1993-04-05,10,10.625,414800,BBT,-2.2988505747126435
1993-04-12,11,11.625,757600,BBT,9.411764705882353
1993-04-19,12,11.1875,273200,BBT,-3.763440860215054
1993-04-26,13,10.5,584600,BBT,-6.145251396648044
1993-05-03,14,10.3125,453200,BBT,-1.7857142857142856
1993-05-10,15,10.5625,180000,BBT,2.4242424242424243
1993-05-17,16,10.375,451000,BBT,-1.7751479289940828
1993-05-24,17,10.25,365800,BBT,-1.2048192771084338
1993-05-31,18,10.1875,616000,BBT,-0.6097560975609756
1993-06-07,19,9.9375,241000,BBT,-2.4539877300613497
1993-06-14,20,9.75,484600,BBT,-1.8867924528301887
1993-06-21,21,10.5625,332600,BBT,8.333333333333332
1993-06-28,22,10.9375,316000,BBT,3.5502958579881656
1993-07-05,23,11.125,340800,BBT,1.7142857142857144
1993-07-12,24,11.5625,211200,BBT,3.932584269662921
1993-07-19,25,11.125,179800,BBT,-3.783783783783784
1993-07-26,26,11.125,120400,BBT,0.0
1993-08-02,27,10.6875,354200,BBT,-3.932584269662921
1993-08-09,28,10.375,464800,BBT,-2.923976608187134
1993-08-16,29,10.1875,323200,BBT,-1.8072289156626504
1993-08-23,30,10.1875,97800,BBT,0.0
1993-08-30,31,10.1875,257600,BBT,0.0
1993-09-06,32,10.3125,159800,BBT,1.2269938650306749
1993-09-13,33,10.375,336000,BBT,0.6060606060606061
1993-09-20,34,10.375,200400,BBT,0.0
1993-09-27,35,10.0625,400800,BBT,-3.0120481927710845
1993-10-04,36,10.125,848000,BBT,0.6211180124223602
1993-10-11,37,10.6875,1138400,BBT,5.555555555555555
1993-10-18,38,10.8125,1264600,BBT,1.1695906432748537
1993-10-25,39,10.375,388600,BBT,-4.046242774566474
1993-11-01,40,10.3125,768400,BBT,-0.6024096385542169
1993-11-08,41,10.3125,225800,BBT,0.0
1993-11-15,42,10.0,334000,BBT,-3.0303030303030303
1993-11-22,43,9.5625,366600,BBT,-4.375
1993-11-29,44,9.625,543800,BBT,0.6535947712418301
1993-12-06,45,10.0625,392800,BBT,4.545454545454546
1993-12-13,46,9.9375,345400,BBT,-1.2422360248447204
1993-12-20,47,9.8125,134600,BBT,-1.257861635220126
1993-12-27,48,9.8125,324200,BBT,0.0
1994-01-03,49,9.8125,457200,BBT,0.0
1994-01-10,50,10.125,389800,BBT,3.1847133757961785
1994-01-17,51,10.125,261600,BBT,0.0
1994-01-24,52,10.125,372800,BBT,0.0
1994-01-31,53,10.0625,731000,BBT,-0.6172839506172839
1994-02-07,54,9.4375,373400,BBT,-6.211180124223603
1994-02-14,55,9.5,510800,BBT,0.6622516556291391
1994-02-21,56,9.625,337000,BBT,1.3157894736842104
1994-02-28,57,9.6875,405200,BBT,0.6493506493506493
1994-03-07,58,9.75,239600,BBT,0.6451612903225806
1994-03-14,59,9.6875,252200,BBT,-0.641025641025641
1994-03-21,60,9.75,285000,BBT,0.6451612903225806
1994-03-28,61,9.6875,310000,BBT,-0.641025641025641
1994-04-04,62,9.4375,346600,BBT,-2.5806451612903225
1994-04-11,63,9.5,333000,BBT,0.6622516556291391
1994-04-18,64,9.875,327000,BBT,3.9473684210526314
1994-04-25,65,9.75,314600,BBT,-1.2658227848101267
1994-05-02,66,9.8125,366600,BBT,0.641025641025641
1994-05-09,67,9.6875,572600,BBT,-1.2738853503184715
1994-05-16,68,9.8125,741400,BBT,1.2903225806451613
1994-05-23,69,10.0,510200,BBT,1.910828025477707
1994-05-30,70,9.9375,474000,BBT,-0.625
1994-06-06,71,10.5,296200,BBT,5.660377358490567
1994-06-13,72,10.75,374200,BBT,2.380952380952381
1994-06-20,73,10.875,289400,BBT,1.1627906976744187
1994-06-27,74,10.375,522600,BBT,-4.597701149425287
1994-07-04,75,10.25,459800,BBT,-1.2048192771084338
1994-07-11,76,10.4375,203400,BBT,1.8292682926829267
1994-07-18,77,10.3125,749200,BBT,-1.1976047904191618
1994-07-25,78,10.4375,253800,BBT,1.2121212121212122
1994-08-01,79,10.875,664000,BBT,4.191616766467066
1994-08-08,80,10.3125,458000,BBT,-5.172413793103448
1994-08-15,81,10.5,300000,BBT,1.8181818181818181
