date,Unnamed: 0,open,volume,ticker,change
1993-08-09,0,3.171875,14796800,BWA,
1993-08-16,1,3.140625,6536800,BWA,-0.9852216748768473
1993-08-23,2,3.171875,1332800,BWA,0.9950248756218906
1993-08-30,3,3.203125,734400,BWA,0.9852216748768473
1993-09-06,4,3.09375,1623200,BWA,-3.414634146341464
1993-09-13,5,2.875,4368800,BWA,-7.07070707070707
1993-09-20,6,3.0,2304000,BWA,4.3478260869565215
1993-09-27,7,2.8125,2790400,BWA,-6.25
1993-10-04,8,3.21875,1825600,BWA,14.444444444444443
1993-10-11,9,3.109375,1764000,BWA,-3.3980582524271843
1993-10-18,10,3.296875,1031200,BWA,6.030150753768844
1993-10-25,11,3.3125,1128800,BWA,0.47393364928909953
1993-11-01,12,3.3125,560000,BWA,0.0
1993-11-08,13,3.21875,663200,BWA,-2.8301886792452833
1993-11-15,14,3.140625,484800,BWA,-2.4271844660194173
1993-11-22,15,2.90625,289600,BWA,-7.462686567164178
1993-11-29,16,3.125,357600,BWA,7.526881720430108
1993-12-06,17,3.0,795200,BWA,-4.0
1993-12-13,18,2.875,1471200,BWA,-4.166666666666666
1993-12-20,19,3.109375,1011200,BWA,8.152173913043478
1993-12-27,20,3.1875,1271200,BWA,2.512562814070352
1994-01-03,21,3.46875,1231200,BWA,8.823529411764707
1994-01-10,22,3.375,1313600,BWA,-2.7027027027027026
1994-01-17,23,3.40625,745600,BWA,0.9259259259259258
1994-01-24,24,3.78125,2060000,BWA,11.009174311926607
1994-01-31,25,3.8125,1541600,BWA,0.8264462809917356
1994-02-07,26,3.96875,2776000,BWA,4.098360655737705
1994-02-14,27,3.96875,1030400,BWA,0.0
1994-02-21,28,3.96875,451200,BWA,0.0
1994-02-28,29,3.75,1415200,BWA,-5.511811023622047
1994-03-07,30,3.78125,590400,BWA,0.8333333333333334
1994-03-14,31,4.0625,603200,BWA,7.43801652892562
1994-03-21,32,4.21875,651200,BWA,3.8461538461538463
1994-03-28,33,4.03125,263200,BWA,-4.444444444444445
1994-04-04,34,3.703125,1659200,BWA,-8.13953488372093
1994-04-11,35,3.84375,384800,BWA,3.79746835443038
1994-04-18,36,3.484375,2073600,BWA,-9.34959349593496
1994-04-25,37,3.25,1000000,BWA,-6.726457399103139
1994-05-02,38,3.25,123200,BWA,0.0
1994-05-09,39,3.28125,102400,BWA,0.9615384615384616
1994-05-16,40,3.234375,212800,BWA,-1.4285714285714286
1994-05-23,41,3.078125,3155200,BWA,-4.830917874396135
1994-05-30,42,3.09375,879200,BWA,0.5076142131979695
1994-06-06,43,2.921875,966400,BWA,-5.555555555555555
1994-06-13,44,2.953125,1738400,BWA,1.06951871657754
1994-06-20,45,3.015625,2573600,BWA,2.1164021164021163
1994-06-27,46,2.890625,656000,BWA,-4.145077720207254
1994-07-04,47,2.84375,2064000,BWA,-1.6216216216216217
1994-07-11,48,3.1875,1487200,BWA,12.087912087912088
1994-07-18,49,3.375,1523200,BWA,5.88235294117647
1994-07-25,50,3.59375,337600,BWA,6.481481481481481
1994-08-01,51,3.578125,407200,BWA,-0.43478260869565216
1994-08-08,52,3.453125,992000,BWA,-3.4934497816593884
1994-08-15,53,3.515625,1073600,BWA,1.809954751131222
1994-08-22,54,3.421875,356000,BWA,-2.666666666666667
1994-08-29,55,3.203125,969600,BWA,-6.392694063926941
1994-09-05,56,3.296875,172000,BWA,2.9268292682926833
1994-09-12,57,3.15625,348800,BWA,-4.265402843601896
1994-09-19,58,3.21875,368000,BWA,1.9801980198019802
1994-09-26,59,3.21875,576800,BWA,0.0
1994-10-03,60,3.1875,9728800,BWA,-0.9708737864077669
1994-10-10,61,2.84375,7260800,BWA,-10.784313725490197
1994-10-17,62,2.828125,3558400,BWA,-0.5494505494505495
1994-10-24,63,2.828125,1553600,BWA,0.0
1994-10-31,64,2.875,3779200,BWA,1.6574585635359116
1994-11-07,65,3.03125,3348800,BWA,5.434782608695652
1994-11-14,66,2.984375,2812800,BWA,-1.5463917525773196
1994-11-21,67,3.015625,2459200,BWA,1.0471204188481675
1994-11-28,68,2.78125,732000,BWA,-7.772020725388601
1994-12-05,69,2.921875,1316800,BWA,5.056179775280898
1994-12-12,70,2.8828125,2564800,BWA,-1.3368983957219251
1994-12-19,71,3.046875,1738400,BWA,5.691056910569105
1994-12-26,72,3.09375,823200,BWA,1.5384615384615385
1995-01-02,73,3.125,1634400,BWA,1.0101010101010102
1995-01-09,74,3.25,827200,BWA,4.0
1995-01-16,75,3.15625,303200,BWA,-2.8846153846153846
1995-01-23,76,2.96875,1229600,BWA,-5.9405940594059405
1995-01-30,77,2.953125,3974400,BWA,-0.5263157894736842
1995-02-06,78,2.859375,2312800,BWA,-3.1746031746031744
1995-02-13,79,3.0,1638400,BWA,4.918032786885246
1995-02-20,80,3.125,1764000,BWA,4.166666666666666
1995-02-27,81,3.15625,1901600,BWA,1.0
1995-03-06,82,3.078125,832800,BWA,-2.4752475247524752
1995-03-13,83,3.0625,1054400,BWA,-0.5076142131979695
1995-03-20,84,3.015625,1924800,BWA,-1.530612244897959
1995-03-27,85,3.03125,1208800,BWA,0.5181347150259068
1995-04-03,86,3.046875,940800,BWA,0.5154639175257731
1995-04-10,87,3.0,4791200,BWA,-1.5384615384615385
1995-04-17,88,3.015625,2382400,BWA,0.5208333333333333
1995-04-24,89,3.09375,3326400,BWA,2.5906735751295336
1995-05-01,90,3.21875,6678400,BWA,4.040404040404041
1995-05-08,91,3.21875,2449600,BWA,0.0
1995-05-15,92,3.3125,1736800,BWA,2.912621359223301
1995-05-22,93,3.421875,792000,BWA,3.30188679245283
1995-05-29,94,3.25,1799200,BWA,-5.0228310502283104
1995-06-05,95,3.359375,3967200,BWA,3.3653846153846154
1995-06-12,96,3.5,1577600,BWA,4.186046511627907
1995-06-19,97,3.40625,1264800,BWA,-2.6785714285714284
1995-06-26,98,3.4375,3362400,BWA,0.9174311926605505
1995-07-03,99,3.5625,1456000,BWA,3.6363636363636362
1995-07-10,100,3.953125,3251200,BWA,10.964912280701753
1995-07-17,101,3.96875,1233600,BWA,0.3952569169960474
1995-07-24,102,3.9375,2766400,BWA,-0.7874015748031495
1995-07-31,103,4.09375,995200,BWA,3.968253968253968
1995-08-07,104,4.046875,3828000,BWA,-1.1450381679389312
1995-08-14,105,3.90625,2258400,BWA,-3.474903474903475
1995-08-21,106,3.96875,1636800,BWA,1.6
1995-08-28,107,3.859375,2433600,BWA,-2.7559055118110236
1995-09-04,108,3.921875,3462400,BWA,1.6194331983805668
1995-09-11,109,4.015625,2944000,BWA,2.3904382470119523
1995-09-18,110,3.78125,2552800,BWA,-5.836575875486381
1995-09-25,111,3.9375,2238400,BWA,4.132231404958678
1995-10-02,112,4.015625,961600,BWA,1.984126984126984
1995-10-09,113,3.890625,2065600,BWA,-3.11284046692607
1995-10-16,114,3.75,3047200,BWA,-3.614457831325301
1995-10-23,115,3.484375,1804000,BWA,-7.083333333333333
1995-10-30,116,3.484375,675200,BWA,0.0
1995-11-06,117,3.828125,743200,BWA,9.865470852017937
1995-11-13,118,3.8125,1877600,BWA,-0.40816326530612246
1995-11-20,119,3.875,1949600,BWA,1.639344262295082
1995-11-27,120,3.796875,1940800,BWA,-2.0161290322580645
1995-12-04,121,3.703125,1459200,BWA,-2.4691358024691357
1995-12-11,122,3.9375,1226400,BWA,6.329113924050633
1995-12-18,123,3.84375,995200,BWA,-2.380952380952381
1995-12-25,124,3.875,548000,BWA,0.8130081300813009
1996-01-01,125,3.984375,1001600,BWA,2.82258064516129
1996-01-08,126,4.015625,1961600,BWA,0.7843137254901961
1996-01-15,127,3.828125,1441600,BWA,-4.669260700389105
1996-01-22,128,3.71875,1219200,BWA,-2.857142857142857
1996-01-29,129,3.734375,3645600,BWA,0.42016806722689076
1996-02-05,130,3.671875,2330400,BWA,-1.6736401673640167
1996-02-12,131,3.859375,2804800,BWA,5.106382978723404
1996-02-19,132,4.03125,1125600,BWA,4.4534412955465585
1996-02-26,133,4.078125,1348800,BWA,1.1627906976744187
1996-03-04,134,4.109375,1305600,BWA,0.7662835249042145
1996-03-11,135,3.9375,882400,BWA,-4.182509505703422
1996-03-18,136,4.0,1670400,BWA,1.5873015873015872
1996-03-25,137,4.171875,2445600,BWA,4.296875
1996-04-01,138,4.203125,2427200,BWA,0.7490636704119851
1996-04-08,139,4.3125,3221600,BWA,2.6022304832713754
1996-04-15,140,4.28125,1372800,BWA,-0.7246376811594203
1996-04-22,141,4.4375,2095200,BWA,3.64963503649635
1996-04-29,142,4.8125,2815200,BWA,8.450704225352112
1996-05-06,143,4.84375,1489600,BWA,0.6493506493506493
1996-05-13,144,4.796875,1216000,BWA,-0.967741935483871
1996-05-20,145,5.0625,1022400,BWA,5.537459283387622
1996-05-27,146,5.125,1655200,BWA,1.2345679012345678
1996-06-03,147,4.953125,4195200,BWA,-3.353658536585366
1996-06-10,148,5.09375,1586400,BWA,2.8391167192429023
1996-06-17,149,5.1875,3049600,BWA,1.8404907975460123
1996-06-24,150,4.984375,1244800,BWA,-3.91566265060241
1996-07-01,151,4.953125,602400,BWA,-0.6269592476489028
1996-07-08,152,4.9375,2406400,BWA,-0.31545741324921134
1996-07-15,153,4.8125,1069600,BWA,-2.5316455696202533
1996-07-22,154,4.640625,14316000,BWA,-3.571428571428571
1996-07-29,155,4.28125,6063200,BWA,-7.744107744107744
1996-08-05,156,4.5625,2111200,BWA,6.569343065693431
1996-08-12,157,4.578125,1765600,BWA,0.3424657534246575
1996-08-19,158,4.6875,2260000,BWA,2.3890784982935154
1996-08-26,159,4.75,1125600,BWA,1.3333333333333335
1996-09-02,160,4.671875,548000,BWA,-1.644736842105263
1996-09-09,161,4.640625,1862400,BWA,-0.6688963210702341
1996-09-16,162,4.625,3792000,BWA,-0.33670033670033667
1996-09-23,163,4.53125,3654400,BWA,-2.027027027027027
1996-09-30,164,4.40625,5031200,BWA,-2.7586206896551726
1996-10-07,165,4.375,6060800,BWA,-0.7092198581560284
1996-10-14,166,4.34375,6465600,BWA,-0.7142857142857143
1996-10-21,167,4.359375,2710400,BWA,0.3597122302158274
1996-10-28,168,4.671875,3992000,BWA,7.168458781362006
1996-11-04,169,4.84375,1047200,BWA,3.678929765886288
1996-11-11,170,4.9375,1413600,BWA,1.935483870967742
1996-11-18,171,4.9375,757600,BWA,0.0
1996-11-25,172,4.921875,1314400,BWA,-0.31645569620253167
1996-12-02,173,4.984375,2717600,BWA,1.2698412698412698
1996-12-09,174,4.890625,1730400,BWA,-1.8808777429467085
1996-12-16,175,4.75,1883200,BWA,-2.8753993610223643
1996-12-23,176,4.640625,1014400,BWA,-2.302631578947368
1996-12-30,177,4.84375,1536000,BWA,4.377104377104377
1997-01-06,178,4.859375,2701600,BWA,0.3225806451612903
1997-01-13,179,4.96875,2507200,BWA,2.2508038585209005
1997-01-20,180,4.96875,3237600,BWA,0.0
1997-01-27,181,5.171875,1290400,BWA,4.088050314465408
1997-02-03,182,4.96875,2914400,BWA,-3.927492447129909
1997-02-10,183,5.109375,1282400,BWA,2.8301886792452833
