,date,open,volume,ticker,change
0,1996-08-12,29.375,2691800,ETFC,
1,1996-08-19,28.75,2246500,ETFC,-2.127659574468085
2,1996-08-26,26.5625,194700,ETFC,-7.608695652173914
3,1996-09-02,26.5625,305600,ETFC,0.0
4,1996-09-09,26.5625,642300,ETFC,0.0
5,1996-09-16,23.4375,568600,ETFC,-11.76470588235294
6,1996-09-23,24.0625,792700,ETFC,2.666666666666667
7,1996-09-30,31.25,735800,ETFC,29.87012987012987
8,1996-10-07,30.625,771200,ETFC,-2.0
9,1996-10-14,30.9375,494500,ETFC,1.020408163265306
10,1996-10-21,31.875,259000,ETFC,3.0303030303030307
11,1996-10-28,28.4375,503500,ETFC,-10.784313725490197
12,1996-11-04,24.6875,517900,ETFC,-13.186813186813188
13,1996-11-11,24.375,319000,ETFC,-1.2658227848101267
14,1996-11-18,24.6875,272300,ETFC,1.282051282051282
15,1996-11-25,27.1875,125600,ETFC,10.126582278481013
16,1996-12-02,27.5,394400,ETFC,1.1494252873563218
17,1996-12-09,29.375,275200,ETFC,6.8181818181818175
18,1996-12-16,29.6875,248000,ETFC,1.0638297872340423
19,1996-12-23,28.125,202800,ETFC,-5.263157894736842
20,1996-12-30,28.75,134800,ETFC,2.2222222222222228
21,1997-01-06,28.4375,170300,ETFC,-1.0869565217391304
22,1997-01-13,30.0,230200,ETFC,5.4945054945054945
23,1997-01-20,31.5625,1742600,ETFC,5.208333333333334
24,1997-01-27,47.5,392700,ETFC,50.495049504950494
25,1997-02-03,44.0625,566400,ETFC,-7.236842105263158
26,1997-02-10,38.75,947100,ETFC,-12.056737588652483
27,1997-02-17,42.5,1297100,ETFC,9.67741935483871
28,1997-02-24,47.5,2742500,ETFC,11.76470588235294
29,1997-03-03,59.0625,1403300,ETFC,24.34210526315789
30,1997-03-10,62.8125,1242600,ETFC,6.349206349206349
31,1997-03-17,52.5,1126900,ETFC,-16.417910447761194
32,1997-03-24,47.5,753300,ETFC,-9.523809523809524
33,1997-03-31,43.75,1016900,ETFC,-7.894736842105263
34,1997-04-07,44.0625,578300,ETFC,0.7142857142857143
35,1997-04-14,45.0,644200,ETFC,2.127659574468085
36,1997-04-21,42.8125,1589200,ETFC,-4.861111111111112
37,1997-04-28,38.75,1964400,ETFC,-9.48905109489051
38,1997-05-05,43.125,1867300,ETFC,11.29032258064516
39,1997-05-12,45.0,757600,ETFC,4.3478260869565215
40,1997-05-19,40.0,1471500,ETFC,-11.11111111111111
41,1997-05-26,43.125,983900,ETFC,7.8125
42,1997-06-02,43.75,1435700,ETFC,1.4492753623188406
43,1997-06-09,51.71875,1048800,ETFC,18.214285714285715
44,1997-06-16,48.125,973500,ETFC,-6.948640483383686
45,1997-06-23,50.0,709200,ETFC,3.896103896103896
46,1997-06-30,45.9375,1163300,ETFC,-8.125
47,1997-07-07,45.0,3991600,ETFC,-2.040816326530612
48,1997-07-14,62.1875,2422000,ETFC,38.19444444444444
49,1997-07-21,66.5625,1074600,ETFC,7.035175879396985
50,1997-07-28,65.625,1312800,ETFC,-1.4084507042253518
51,1997-08-04,73.75,1065300,ETFC,12.38095238095238
52,1997-08-11,72.1875,1578900,ETFC,-2.11864406779661
53,1997-08-18,71.875,2318600,ETFC,-0.4329004329004329
54,1997-08-25,69.53125,1894900,ETFC,-3.260869565217391
55,1997-09-01,81.25,1866000,ETFC,16.853932584269664
56,1997-09-08,86.5625,1517700,ETFC,6.538461538461539
57,1997-09-15,93.59375,1064800,ETFC,8.12274368231047
58,1997-09-22,104.6875,3356200,ETFC,11.853088480801336
59,1997-09-29,109.0625,1946800,ETFC,4.179104477611941
60,1997-10-06,118.4375,8768100,ETFC,8.595988538681947
61,1997-10-13,94.6875,4697400,ETFC,-20.052770448548806
62,1997-10-20,79.6875,4942000,ETFC,-15.841584158415841
63,1997-10-27,80.46875,3397900,ETFC,0.9803921568627451
64,1997-11-03,79.0625,1867200,ETFC,-1.7475728155339807
65,1997-11-10,79.375,5466500,ETFC,0.3952569169960474
66,1997-11-17,63.75,2954900,ETFC,-19.68503937007874
67,1997-11-24,60.15625,1319400,ETFC,-5.637254901960784
68,1997-12-01,63.75,6927000,ETFC,5.974025974025974
69,1997-12-08,51.015625,2883500,ETFC,-19.975490196078436
70,1997-12-15,55.625,3009100,ETFC,9.03522205206738
71,1997-12-22,47.34375,1248400,ETFC,-14.887640449438205
72,1997-12-29,49.6875,1588100,ETFC,4.950495049504951
73,1998-01-05,58.125,3615400,ETFC,16.981132075471695
74,1998-01-12,55.0,1203000,ETFC,-5.376344086021505
75,1998-01-19,58.59375,1366800,ETFC,6.534090909090909
76,1998-01-26,55.0,2318600,ETFC,-6.133333333333332
77,1998-02-02,56.25,2193600,ETFC,2.272727272727273
78,1998-02-09,58.75,2664500,ETFC,4.4444444444444455
79,1998-02-16,66.09375,950400,ETFC,12.5
80,1998-02-23,65.0,1727700,ETFC,-1.6548463356974
81,1998-03-02,65.78125,1874300,ETFC,1.201923076923077
82,1998-03-09,60.9375,2872200,ETFC,-7.363420427553444
83,1998-03-16,55.9375,2043300,ETFC,-8.205128205128204
84,1998-03-23,58.4375,1385400,ETFC,4.4692737430167595
85,1998-03-30,60.625,2964500,ETFC,3.7433155080213902
86,1998-04-06,69.375,2990500,ETFC,14.432989690721648
87,1998-04-13,59.0625,2759400,ETFC,-14.864864864864865
88,1998-04-20,57.1875,1765900,ETFC,-3.1746031746031744
89,1998-04-27,55.15625,2854900,ETFC,-3.5519125683060113
