,date,open,volume,ticker,change
0,1993-01-25,14.0,3853600,GD,
1,1993-02-01,14.296875,2503200,GD,2.1205357142857144
2,1993-02-08,14.53125,3925600,GD,1.6393442622950818
3,1993-02-15,14.234375,5931200,GD,-2.043010752688172
4,1993-02-22,13.65625,3768800,GD,-4.061470911086718
5,1993-03-01,14.5625,3048800,GD,6.636155606407322
6,1993-03-08,14.46875,2542400,GD,-0.6437768240343348
7,1993-03-15,14.484375,5992000,GD,0.10799136069114473
8,1993-03-22,14.78125,6440800,GD,2.0496224379719528
9,1993-03-29,14.1875,9896800,GD,-4.0169133192389
10,1993-04-05,12.3125,1720800,GD,-13.215859030837004
11,1993-04-12,12.109375,3259200,GD,-1.6497461928934012
12,1993-04-19,12.421875,4112000,GD,2.5806451612903225
13,1993-04-26,12.1875,2832800,GD,-1.8867924528301887
14,1993-05-03,11.953125,2810400,GD,-1.9230769230769231
15,1993-05-10,11.921875,1752000,GD,-0.261437908496732
16,1993-05-17,11.96875,2181600,GD,0.39318479685452157
17,1993-05-24,11.78125,2732000,GD,-1.5665796344647518
18,1993-05-31,11.8125,2519200,GD,0.2652519893899204
19,1993-06-07,12.125,2784800,GD,2.6455026455026456
20,1993-06-14,12.25,10357600,GD,1.0309278350515463
21,1993-06-21,10.40625,2279200,GD,-15.051020408163266
22,1993-06-28,10.875,2380800,GD,4.504504504504504
23,1993-07-05,11.15625,1604800,GD,2.586206896551724
24,1993-07-12,11.125,2783200,GD,-0.2801120448179272
25,1993-07-19,11.0625,2470400,GD,-0.5617977528089888
26,1993-07-26,11.265625,4418400,GD,1.836158192090396
27,1993-08-02,11.3125,2821600,GD,0.4160887656033287
28,1993-08-09,11.671875,2082400,GD,3.1767955801104977
29,1993-08-16,12.0,2594400,GD,2.811244979919678
30,1993-08-23,11.984375,2480800,GD,-0.13020833333333331
31,1993-08-30,11.8125,2617600,GD,-1.4341590612777053
32,1993-09-06,12.03125,1553600,GD,1.8518518518518516
33,1993-09-13,11.859375,4976000,GD,-1.4285714285714284
34,1993-09-20,12.453125,8937600,GD,5.006587615283267
35,1993-09-27,11.671875,2376000,GD,-6.273525721455458
36,1993-10-04,11.875,5192000,GD,1.7402945113788493
37,1993-10-11,12.234375,2384000,GD,3.026315789473684
38,1993-10-18,11.984375,2443200,GD,-2.0434227330779056
39,1993-10-25,11.75,2120800,GD,-1.955671447196871
40,1993-11-01,11.90625,1989600,GD,1.3297872340425532
41,1993-11-08,11.484375,1923200,GD,-3.543307086614173
42,1993-11-15,11.578125,1908800,GD,0.8163265306122449
43,1993-11-22,11.53125,1480000,GD,-0.4048582995951417
44,1993-11-29,11.421875,2340800,GD,-0.9485094850948508
45,1993-12-06,11.703125,1703200,GD,2.4623803009575926
46,1993-12-13,11.4375,1410400,GD,-2.2696929238985315
47,1993-12-20,11.96875,2024800,GD,4.644808743169398
48,1993-12-27,11.734375,1818400,GD,-1.95822454308094
49,1994-01-03,11.546875,3949600,GD,-1.5978695073235687
50,1994-01-10,11.359375,2293600,GD,-1.6238159675236805
51,1994-01-17,11.53125,3150400,GD,1.513067400275103
52,1994-01-24,11.5,3380000,GD,-0.2710027100271003
53,1994-01-31,11.515625,2686400,GD,0.1358695652173913
54,1994-02-07,11.609375,2936000,GD,0.8141112618724559
55,1994-02-14,11.796875,3962400,GD,1.6150740242261103
56,1994-02-21,11.6875,2116000,GD,-0.9271523178807948
57,1994-02-28,11.578125,2008800,GD,-0.9358288770053477
58,1994-03-07,11.796875,2358400,GD,1.8893387314439947
59,1994-03-14,11.515625,2518400,GD,-2.384105960264901
60,1994-03-21,11.40625,2207200,GD,-0.9497964721845321
61,1994-03-28,11.125,12688800,GD,-2.4657534246575343
62,1994-04-04,10.46875,6191200,GD,-5.898876404494382
63,1994-04-11,10.625,2912000,GD,1.492537313432836
64,1994-04-18,10.4375,2990400,GD,-1.764705882352941
65,1994-04-25,10.0,7739600,GD,-4.191616766467066
66,1994-05-02,10.15625,3199200,GD,1.5625
67,1994-05-09,10.1875,2184400,GD,0.3076923076923077
68,1994-05-16,10.125,1706000,GD,-0.6134969325153374
69,1994-05-23,10.625,1399200,GD,4.938271604938271
70,1994-05-30,10.53125,1012800,GD,-0.8823529411764706
71,1994-06-06,10.875,1344000,GD,3.2640949554896146
72,1994-06-13,10.90625,2057600,GD,0.2873563218390805
73,1994-06-20,10.90625,2113200,GD,0.0
74,1994-06-27,10.40625,1516400,GD,-4.584527220630372
75,1994-07-04,10.375,1193600,GD,-0.3003003003003003
76,1994-07-11,10.0625,3198000,GD,-3.0120481927710845
77,1994-07-18,10.34375,1618800,GD,2.795031055900621
78,1994-07-25,9.9375,1903600,GD,-3.9274924471299086
79,1994-08-01,10.0625,1513200,GD,1.257861635220126
80,1994-08-08,9.625,1933600,GD,-4.3478260869565215
81,1994-08-15,9.875,5433200,GD,2.5974025974025974
82,1994-08-22,10.5,9665200,GD,6.329113924050632
83,1994-08-29,11.03125,9052000,GD,5.059523809523809
84,1994-09-05,11.5625,2476800,GD,4.815864022662889
85,1994-09-12,11.5,2852400,GD,-0.5405405405405407
86,1994-09-19,11.3125,4088000,GD,-1.6304347826086956
87,1994-09-26,11.0,2274000,GD,-2.7624309392265194
88,1994-10-03,10.9375,2943600,GD,-0.5681818181818182
89,1994-10-10,11.03125,3744000,GD,0.8571428571428572
90,1994-10-17,11.1875,3572000,GD,1.41643059490085
91,1994-10-24,10.9375,4753600,GD,-2.2346368715083798
92,1994-10-31,10.59375,3401200,GD,-3.1428571428571432
93,1994-11-07,10.0,3700000,GD,-5.604719764011799
94,1994-11-14,10.21875,2986800,GD,2.1875
95,1994-11-21,10.0625,1446800,GD,-1.529051987767584
96,1994-11-28,9.75,1921600,GD,-3.1055900621118004
97,1994-12-05,10.15625,2271200,GD,4.166666666666666
98,1994-12-12,10.6875,10480400,GD,5.230769230769231
99,1994-12-19,11.0625,3200400,GD,3.508771929824561
100,1994-12-26,10.84375,878000,GD,-1.977401129943503
101,1995-01-02,10.84375,1776800,GD,0.0
102,1995-01-09,10.84375,2456800,GD,0.0
103,1995-01-16,10.96875,1905600,GD,1.1527377521613833
104,1995-01-23,10.875,1506400,GD,-0.8547008547008548
105,1995-01-30,10.90625,2210800,GD,0.2873563218390805
106,1995-02-06,10.8125,3957200,GD,-0.8595988538681949
107,1995-02-13,11.15625,3416000,GD,3.1791907514450863
