,date,open,volume,ticker,change
0,1993-01-25,20.715858459472656,848100,HST,
1,1993-02-01,20.93391990661621,2592600,HST,1.0526305128515812
2,1993-02-08,21.1519832611084,1269300,HST,1.041674733948266
3,1993-02-15,20.93391990661621,964900,HST,-1.0309357368542122
4,1993-02-22,20.061674118041992,1252100,HST,-4.166662490662073
5,1993-03-01,21.370044708251953,1724800,HST,6.521741817315778
6,1993-03-08,22.242290496826172,3341100,HST,4.081628281467287
7,1993-03-15,23.223567962646484,3639000,HST,4.411764453666937
8,1993-03-22,23.223567962646484,1810800,HST,0.0
9,1993-03-29,23.223567962646484,2235400,HST,0.0
10,1993-04-05,22.242290496826172,1510100,HST,-4.225351881324324
11,1993-04-12,22.242290496826172,1513300,HST,0.0
12,1993-04-19,22.56938362121582,1346300,HST,1.4705910096638928
13,1993-04-26,21.69713592529297,981900,HST,-3.864738667931168
14,1993-05-03,21.1519832611084,1086000,HST,-2.5125558786266824
15,1993-05-10,21.588106155395508,1315100,HST,2.061853439005869
16,1993-05-17,22.351322174072266,1347700,HST,3.5353542046855626
17,1993-05-24,22.78744506835937,1199100,HST,1.9512174308552197
18,1993-05-31,22.460351943969727,763500,HST,-1.435409381825861
19,1993-06-07,22.56938362121582,1191700,HST,0.485440644554847
20,1993-06-14,22.56938362121582,2169500,HST,0.0
21,1993-06-21,22.56938362121582,1618300,HST,0.0
22,1993-06-28,21.806167602539066,1285600,HST,-3.381643165298103
23,1993-07-05,22.460351943969727,2490300,HST,2.999996851140815
24,1993-07-12,23.98678398132324,3046500,HST,6.796118071352558
25,1993-07-19,23.76872253417969,2230200,HST,-0.9090899693486884
26,1993-07-26,24.42290687561035,1315800,HST,2.752290706788874
27,1993-08-02,24.2048454284668,1005300,HST,-0.8928562363774791
28,1993-08-09,24.2048454284668,909000,HST,0.0
29,1993-08-16,24.31387710571289,1740200,HST,0.4504539290214197
30,1993-08-23,24.42290687561035,2926000,HST,0.44842609602498507
31,1993-08-30,25.07709312438965,1379500,HST,2.6785765188033053
32,1993-09-06,25.07709312438965,1558700,HST,0.0
33,1993-09-13,25.07709312438965,1296900,HST,0.0
34,1993-09-20,24.640968322753906,988300,HST,-1.7391361888414933
35,1993-09-27,25.18612289428711,5345400,HST,2.212391024543454
36,1993-10-04,28.3480167388916,3706300,HST,12.554111078850072
37,1993-10-11,28.784141540527344,15605400,HST,1.538466714101406
38,1993-10-18,6.759912014007568,7103500,HST,-76.51515156535142
39,1993-10-25,5.9966959953308105,6401300,HST,-11.290324742322936
40,1993-11-01,6.432819366455077,3933400,HST,7.272727706454423
41,1993-11-08,5.9966959953308105,4521000,HST,-6.779661393859415
42,1993-11-15,6.323788642883301,3594100,HST,5.454547767757002
43,1993-11-22,5.887665271759032,2829700,HST,-6.896551984150756
44,1993-11-29,6.105726718902588,5167200,HST,3.703699804224881
45,1993-12-06,7.523127555847168,11155400,HST,23.214285574827308
46,1993-12-13,8.177312850952147,3169800,HST,8.695656031998675
47,1993-12-20,7.523127555847168,1324400,HST,-8.000003265483562
48,1993-12-27,7.523127555847168,1826700,HST,0.0
49,1994-01-03,7.9592509269714355,7750400,HST,5.797101908571274
50,1994-01-10,9.049559593200684,8202400,HST,13.69863415832927
51,1994-01-17,9.703744888305664,9911400,HST,7.228918582916427
52,1994-01-24,10.466959953308104,9109100,HST,7.865160036536182
53,1994-01-31,10.466959953308104,5515300,HST,0.0
54,1994-02-07,10.5759916305542,3065200,HST,1.041674733948283
55,1994-02-14,10.903083801269533,3526000,HST,3.0927801585088206
56,1994-02-21,11.448237419128418,1586100,HST,4.999994751901369
57,1994-02-28,10.794053077697754,6953200,HST,-5.71428000206925
58,1994-03-07,10.466959953308104,3567400,HST,-3.030308652692075
59,1994-03-14,10.030837059020996,3502000,HST,-4.166662490662058
60,1994-03-21,9.703744888305664,3252800,HST,-3.2608661549453584
61,1994-03-28,9.703744888305664,3153900,HST,0.0
62,1994-04-04,8.50440502166748,4816500,HST,-12.359556856070606
63,1994-04-11,8.50440502166748,3682500,HST,0.0
64,1994-04-18,8.395374298095701,2501400,HST,-1.282049988141336
65,1994-04-25,8.177312850952147,2063300,HST,-2.597399941930129
66,1994-05-02,8.50440502166748,1509400,HST,3.9999958015211314
67,1994-05-09,8.068282127380371,2608200,HST,-5.128199952565261
68,1994-05-16,8.722467422485353,1367100,HST,8.108111302714011
69,1994-05-23,9.158590316772461,989700,HST,4.999994533230828
70,1994-05-30,8.940528869628906,502700,HST,-2.3809499016918663
71,1994-06-06,8.831498146057129,1634500,HST,-1.219510894284522
72,1994-06-13,8.722467422485353,1209700,HST,-1.234566568079425
73,1994-06-20,9.59471321105957,664400,HST,9.999989066461676
74,1994-06-27,8.395374298095701,1039800,HST,-12.499997515104704
75,1994-07-04,8.722467422485353,431900,HST,3.8961112724163542
76,1994-07-11,8.831498146057129,1291100,HST,1.249998633307692
77,1994-07-18,9.81277561187744,1036300,HST,11.11110991127148
78,1994-07-25,9.59471321105957,1111100,HST,-2.2222295652406987
79,1994-08-01,9.81277561187744,803300,HST,2.2727349533127743
80,1994-08-08,9.485682487487793,944200,HST,-3.333339488510583
81,1994-08-15,9.158590316772461,1165500,HST,-3.4482723952313084
82,1994-08-22,9.267621040344238,1555900,HST,1.1904749508459331
83,1994-08-29,10.030837059020996,986100,HST,8.235295933598174
84,1994-09-05,9.81277561187744,594800,HST,-2.17391076996359
85,1994-09-12,9.81277561187744,883000,HST,0.0
86,1994-09-19,9.59471321105957,1111900,HST,-2.2222295652406987
87,1994-09-26,9.049559593200684,2509100,HST,-5.681812534328829
88,1994-10-03,8.613435745239258,3260900,HST,-4.819282568061147
89,1994-10-10,9.158590316772461,1989800,HST,6.329118689188762
90,1994-10-17,9.158590316772461,2591900,HST,0.0
91,1994-10-24,9.049559593200684,3776700,HST,-1.1904749508459331
92,1994-10-31,9.158590316772461,2217300,HST,1.2048180074276404
93,1994-11-07,8.831498146057129,2832300,HST,-3.5714248525377994
94,1994-11-14,8.940528869628906,3677900,HST,1.2345665680794453
95,1994-11-21,9.158590316772461,1429100,HST,2.439021788569044
96,1994-11-28,8.177312850952147,11647500,HST,-10.71428497050758
97,1994-12-05,8.395374298095701,5444500,HST,2.66666386768074
98,1994-12-12,7.9592509269714355,2948200,HST,-5.194805563620795
99,1994-12-19,8.177312850952147,2195900,HST,2.7397292280579673
100,1994-12-26,8.177312850952147,1410800,HST,0.0
101,1995-01-02,8.286343574523926,3001300,HST,1.3333319338403915
102,1995-01-09,8.831498146057129,2960300,HST,6.5789520628768265
103,1995-01-16,8.50440502166748,2111800,HST,-3.7037105027948285
104,1995-01-23,8.286343574523926,4458100,HST,-2.5640999762826304
105,1995-01-30,8.395374298095701,1936600,HST,1.315788110777674
106,1995-02-06,8.722467422485353,2848300,HST,3.8961112724163542
107,1995-02-13,8.940528869628906,1519300,HST,2.499997266615404
108,1995-02-20,9.158590316772461,1065900,HST,2.439021788569044
109,1995-02-27,9.485682487487793,1822100,HST,3.5714248525377994
110,1995-03-06,9.376651763916016,1146700,HST,-1.1494241317437692
111,1995-03-13,9.376651763916016,2040900,HST,0.0
112,1995-03-20,9.376651763916016,828400,HST,0.0
113,1995-03-27,9.485682487487793,4004600,HST,1.1627895150309209
114,1995-04-03,10.357929229736328,13705200,HST,9.19540310777936
115,1995-04-10,9.376651763916016,1573700,HST,-9.47368382285512
116,1995-04-17,8.831498146057129,4591400,HST,-5.8139475751546055
117,1995-04-24,9.267621040344238,2793600,HST,4.938266272317781
118,1995-05-01,9.59471321105957,2487300,HST,3.5294081328036526
119,1995-05-08,9.59471321105957,2087900,HST,0.0
120,1995-05-15,9.81277561187744,1137300,HST,2.2727349533127743
121,1995-05-22,9.703744888305664,2013900,HST,-1.1111099232698662
122,1995-05-29,9.049559593200684,1819900,HST,-6.741575573502175
123,1995-06-05,8.940528869628906,2074200,HST,-1.2048180074276404
124,1995-06-12,9.267621040344238,1656800,HST,3.6585326828535667
125,1995-06-19,9.485682487487793,2349900,HST,2.3529387552024352
126,1995-06-26,9.59471321105957,1589400,HST,1.1494241317437692
127,1995-07-03,9.267621040344238,1895600,HST,-3.4090875205972972
128,1995-07-10,9.703744888305664,1980100,HST,4.705887800794521
129,1995-07-17,9.703744888305664,1424000,HST,0.0
130,1995-07-24,9.703744888305664,3559000,HST,0.0
131,1995-07-31,9.81277561187744,2276800,HST,1.1235942909337244
132,1995-08-07,9.92180633544922,1736000,HST,1.1111099232699204
133,1995-08-14,10.030837059020996,1441800,HST,1.098899937022799
134,1995-08-21,9.92180633544922,896200,HST,-1.0869553849817684
135,1995-08-28,9.703744888305664,1700600,HST,-2.1977998740456517
136,1995-09-04,10.030837059020996,3310600,HST,3.3707828728012283
137,1995-09-11,11.33920669555664,5660300,HST,13.043474127206494
138,1995-09-18,11.557269096374512,2310700,HST,1.9230833926267576
139,1995-09-25,11.230175971984863,1519800,HST,-2.8301938949596384
140,1995-10-02,10.794053077697754,1371900,HST,-3.88349118816192
141,1995-10-09,10.5759916305542,1583900,HST,-2.020199878339533
142,1995-10-16,10.5759916305542,1397200,HST,0.0
143,1995-10-23,10.903083801269533,1319800,HST,3.0927801585088206
144,1995-10-30,10.5759916305542,1302200,HST,-2.999996851140848
145,1995-11-06,11.012114524841307,1860500,HST,4.123706878011721
146,1995-11-13,10.903083801269533,1400700,HST,-0.9900979809628795
147,1995-11-20,10.903083801269533,1196400,HST,0.0
148,1995-11-27,10.903083801269533,1097300,HST,0.0
149,1995-12-04,11.33920669555664,2254000,HST,3.999995801521092
150,1995-12-11,11.230175971984863,1163300,HST,-0.9615374911059864
151,1995-12-18,11.121145248413086,2859200,HST,-0.97087279704048
152,1995-12-25,11.012114524841307,1226900,HST,-0.9803911480010306
153,1996-01-01,11.747429847717285,1449000,HST,6.677330872442727
154,1996-01-08,11.992168426513672,1297000,HST,2.083337223281596
155,1996-01-15,11.502692222595215,1065600,HST,-4.081632166174939
156,1996-01-22,11.62506103515625,1728200,HST,1.0638275822129801
157,1996-01-29,11.135584831237793,1262100,HST,-4.2105258840206865
158,1996-02-05,11.38032341003418,3237200,HST,2.197806244624356
159,1996-02-12,11.992168426513672,1890600,HST,5.376341202570926
160,1996-02-19,12.236906051635742,1896200,HST,2.040812106849468
161,1996-02-26,12.359275817871096,2072700,HST,1.0000057671358509
162,1996-03-04,13.09348964691162,1297700,HST,5.940589399088218
163,1996-03-11,12.481644630432127,1911800,HST,-4.672894949925048
