,date,open,volume,ticker,change
0,1993-01-25,20.0,3149200,HUM,
1,1993-02-01,19.875,4077300,HUM,-0.625
2,1993-02-08,20.875,2274100,HUM,5.031446540880504
3,1993-02-15,20.0,2689500,HUM,-4.191616766467066
4,1993-02-22,18.375,2575600,HUM,-8.125
5,1993-03-01,19.25,2121000,HUM,4.761904761904762
6,1993-03-08,6.25,13062200,HUM,-67.53246753246754
7,1993-03-15,7.875,7810300,HUM,26.0
8,1993-03-22,7.875,4859000,HUM,0.0
9,1993-03-29,7.5,3084100,HUM,-4.761904761904762
10,1993-04-05,7.375,2097300,HUM,-1.6666666666666667
11,1993-04-12,6.75,5042400,HUM,-8.47457627118644
12,1993-04-19,6.875,10175100,HUM,1.8518518518518516
13,1993-04-26,8.125,9836100,HUM,18.181818181818183
14,1993-05-03,9.25,16840200,HUM,13.846153846153847
15,1993-05-10,9.75,15948400,HUM,5.405405405405406
16,1993-05-17,10.25,11709900,HUM,5.128205128205128
17,1993-05-24,11.25,8866700,HUM,9.75609756097561
18,1993-05-31,11.75,7046100,HUM,4.4444444444444455
19,1993-06-07,11.875,6017800,HUM,1.0638297872340423
20,1993-06-14,10.875,4712400,HUM,-8.421052631578947
21,1993-06-21,10.625,4001600,HUM,-2.298850574712644
22,1993-06-28,10.125,12296200,HUM,-4.705882352941177
23,1993-07-05,11.875,3416300,HUM,17.28395061728395
24,1993-07-12,11.625,10146800,HUM,-2.1052631578947367
25,1993-07-19,12.5,6950300,HUM,7.526881720430108
26,1993-07-26,12.25,6034700,HUM,-2.0
27,1993-08-02,11.375,5373200,HUM,-7.142857142857142
28,1993-08-09,12.0,6791600,HUM,5.4945054945054945
29,1993-08-16,10.875,13068100,HUM,-9.375
30,1993-08-23,12.875,7610700,HUM,18.39080459770115
31,1993-08-30,13.0,6342700,HUM,0.9708737864077669
32,1993-09-06,13.625,5813700,HUM,4.807692307692308
33,1993-09-13,12.5,3250600,HUM,-8.256880733944955
34,1993-09-20,12.125,4484700,HUM,-3.0
35,1993-09-27,13.625,2917300,HUM,12.371134020618554
36,1993-10-04,12.75,6029100,HUM,-6.422018348623854
37,1993-10-11,13.75,3553500,HUM,7.8431372549019605
38,1993-10-18,14.0,5035000,HUM,1.8181818181818181
39,1993-10-25,13.875,4933400,HUM,-0.8928571428571428
40,1993-11-01,14.125,4387700,HUM,1.8018018018018014
41,1993-11-08,14.5,5573000,HUM,2.6548672566371683
42,1993-11-15,16.375,6570300,HUM,12.931034482758621
43,1993-11-22,15.5,4058500,HUM,-5.343511450381679
44,1993-11-29,16.375,3697800,HUM,5.645161290322581
45,1993-12-06,16.875,5493700,HUM,3.053435114503817
46,1993-12-13,17.875,5050600,HUM,5.9259259259259265
47,1993-12-20,17.625,2347000,HUM,-1.3986013986013985
48,1993-12-27,17.875,2922900,HUM,1.4184397163120568
49,1994-01-03,17.625,3196700,HUM,-1.3986013986013985
50,1994-01-10,17.5,5448300,HUM,-0.7092198581560284
51,1994-01-17,18.125,5639000,HUM,3.571428571428571
52,1994-01-24,19.0,5157500,HUM,4.827586206896552
53,1994-01-31,19.375,11090800,HUM,1.973684210526316
54,1994-02-07,20.0,4713500,HUM,3.225806451612903
55,1994-02-14,21.0,2825800,HUM,5.0
56,1994-02-21,20.0,2326600,HUM,-4.761904761904762
57,1994-02-28,19.875,3664100,HUM,-0.625
58,1994-03-07,19.375,2497100,HUM,-2.515723270440252
59,1994-03-14,20.5,2179900,HUM,5.806451612903226
60,1994-03-21,21.5,3355300,HUM,4.878048780487805
61,1994-03-28,21.375,4709300,HUM,-0.5813953488372093
62,1994-04-04,17.5,3242800,HUM,-18.128654970760234
63,1994-04-11,20.25,2073500,HUM,15.714285714285714
64,1994-04-18,19.875,5288300,HUM,-1.8518518518518516
65,1994-04-25,18.5,1967900,HUM,-6.918238993710693
66,1994-05-02,18.375,3140100,HUM,-0.6756756756756757
67,1994-05-09,19.625,2141600,HUM,6.802721088435375
68,1994-05-16,18.875,3835200,HUM,-3.821656050955414
69,1994-05-23,20.25,2692900,HUM,7.28476821192053
70,1994-05-30,20.125,2553200,HUM,-0.6172839506172839
71,1994-06-06,19.75,2347400,HUM,-1.8633540372670807
72,1994-06-13,18.875,2681600,HUM,-4.430379746835443
73,1994-06-20,19.875,5093100,HUM,5.298013245033113
74,1994-06-27,17.375,4934500,HUM,-12.578616352201259
75,1994-07-04,16.5,4171600,HUM,-5.035971223021583
76,1994-07-11,17.5,3350600,HUM,6.060606060606061
77,1994-07-18,17.5,10054100,HUM,0.0
78,1994-07-25,18.625,5061900,HUM,6.428571428571428
79,1994-08-01,18.75,2632300,HUM,0.6711409395973155
80,1994-08-08,18.5,3425900,HUM,-1.3333333333333335
81,1994-08-15,18.5,3495700,HUM,0.0
82,1994-08-22,19.625,3829500,HUM,6.081081081081082
83,1994-08-29,21.125,3129800,HUM,7.643312101910828
84,1994-09-05,21.625,4323800,HUM,2.366863905325444
85,1994-09-12,23.375,4176100,HUM,8.092485549132949
86,1994-09-19,22.75,3038200,HUM,-2.6737967914438503
87,1994-09-26,21.75,2071100,HUM,-4.395604395604396
88,1994-10-03,23.375,4165200,HUM,7.471264367816093
89,1994-10-10,23.625,3626200,HUM,1.06951871657754
90,1994-10-17,24.0,2831200,HUM,1.5873015873015872
91,1994-10-24,22.875,2815300,HUM,-4.6875
92,1994-10-31,24.75,2028300,HUM,8.19672131147541
93,1994-11-07,23.25,1448700,HUM,-6.060606060606061
94,1994-11-14,23.125,1787600,HUM,-0.5376344086021506
95,1994-11-21,22.625,1449200,HUM,-2.1621621621621627
96,1994-11-28,22.0,2397600,HUM,-2.7624309392265194
97,1994-12-05,21.75,6507400,HUM,-1.1363636363636365
98,1994-12-12,19.125,6183700,HUM,-12.068965517241379
99,1994-12-19,22.75,2335600,HUM,18.954248366013072
100,1994-12-26,22.25,1656400,HUM,-2.197802197802198
101,1995-01-02,22.625,2281400,HUM,1.6853932584269662
102,1995-01-09,22.375,3060900,HUM,-1.1049723756906076
103,1995-01-16,23.25,3578700,HUM,3.910614525139665
104,1995-01-23,22.125,1824700,HUM,-4.838709677419355
105,1995-01-30,22.5,5157600,HUM,1.694915254237288
106,1995-02-06,25.25,2441600,HUM,12.222222222222221
107,1995-02-13,24.625,3837300,HUM,-2.4752475247524757
108,1995-02-20,23.5,2575900,HUM,-4.568527918781727
109,1995-02-27,23.125,1973500,HUM,-1.5957446808510638
110,1995-03-06,23.75,3095800,HUM,2.702702702702703
111,1995-03-13,23.0,2855700,HUM,-3.157894736842105
112,1995-03-20,24.625,1944000,HUM,7.065217391304348
113,1995-03-27,24.375,3771100,HUM,-1.015228426395939
114,1995-04-03,25.75,3404600,HUM,5.641025641025641
115,1995-04-10,25.125,2502900,HUM,-2.4271844660194173
116,1995-04-17,25.75,20732000,HUM,2.487562189054726
117,1995-04-24,21.375,11916200,HUM,-16.990291262135926
118,1995-05-01,19.625,10115800,HUM,-8.187134502923977
119,1995-05-08,18.875,13130900,HUM,-3.821656050955414
120,1995-05-15,20.875,4174100,HUM,10.596026490066224
121,1995-05-22,20.875,4215800,HUM,0.0
122,1995-05-29,21.125,4789300,HUM,1.1976047904191616
123,1995-06-05,21.75,5406900,HUM,2.9585798816568047
124,1995-06-12,23.0,18051100,HUM,5.747126436781609
125,1995-06-19,20.0,10422000,HUM,-13.043478260869565
126,1995-06-26,19.5,18258800,HUM,-2.5
127,1995-07-03,17.75,5908100,HUM,-8.974358974358974
128,1995-07-10,17.75,9749400,HUM,0.0
129,1995-07-17,19.375,6647800,HUM,9.154929577464788
130,1995-07-24,19.0,12255900,HUM,-1.935483870967742
131,1995-07-31,21.0,12889400,HUM,10.526315789473683
132,1995-08-07,18.0,5769600,HUM,-14.285714285714285
133,1995-08-14,18.625,3353700,HUM,3.4722222222222223
134,1995-08-21,19.0,3782500,HUM,2.013422818791946
135,1995-08-28,18.375,3267100,HUM,-3.289473684210526
136,1995-09-04,18.25,6261800,HUM,-0.6802721088435374
137,1995-09-11,20.625,4628600,HUM,13.013698630136986
138,1995-09-18,19.875,3091100,HUM,-3.6363636363636362
139,1995-09-25,19.875,4652300,HUM,0.0
140,1995-10-02,20.125,2539800,HUM,1.257861635220126
141,1995-10-09,19.5,3241000,HUM,-3.1055900621118004
142,1995-10-16,19.875,2852300,HUM,1.9230769230769231
143,1995-10-23,20.125,6410400,HUM,1.257861635220126
144,1995-10-30,21.625,6457500,HUM,7.453416149068323
145,1995-11-06,23.5,3898000,HUM,8.670520231213873
146,1995-11-13,22.75,3120100,HUM,-3.1914893617021276
147,1995-11-20,23.25,4971300,HUM,2.197802197802198
148,1995-11-27,24.25,17752700,HUM,4.301075268817205
149,1995-12-04,26.875,4321700,HUM,10.824742268041238
150,1995-12-11,26.5,3397000,HUM,-1.3953488372093024
151,1995-12-18,27.0,3089400,HUM,1.8867924528301887
152,1995-12-25,26.625,1983000,HUM,-1.3888888888888888
153,1996-01-01,27.25,3410600,HUM,2.3474178403755865
154,1996-01-08,26.75,4579100,HUM,-1.834862385321101
155,1996-01-15,26.875,3144400,HUM,0.46728971962616817
156,1996-01-22,27.5,2919500,HUM,2.325581395348837
157,1996-01-29,27.625,2699200,HUM,0.45454545454545453
158,1996-02-05,27.375,3673800,HUM,-0.904977375565611
159,1996-02-12,27.25,7425100,HUM,-0.45662100456621
160,1996-02-19,25.5,3701300,HUM,-6.422018348623854
161,1996-02-26,24.875,3347900,HUM,-2.450980392156863
162,1996-03-04,24.5,5012100,HUM,-1.507537688442211
163,1996-03-11,24.5,3083800,HUM,0.0
164,1996-03-18,24.25,2129100,HUM,-1.020408163265306
165,1996-03-25,25.25,2238500,HUM,4.123711340206185
166,1996-04-01,25.875,2236500,HUM,2.4752475247524757
167,1996-04-08,25.5,2689700,HUM,-1.4492753623188406
168,1996-04-15,24.0,1684100,HUM,-5.882352941176471
169,1996-04-22,24.5,1892000,HUM,2.083333333333333
170,1996-04-29,23.875,4252800,HUM,-2.5510204081632653
171,1996-05-06,24.0,3578200,HUM,0.5235602094240838
172,1996-05-13,24.0,2492700,HUM,0.0
173,1996-05-20,23.875,2476800,HUM,-0.5208333333333333
174,1996-05-27,24.0,3719800,HUM,0.5235602094240838
175,1996-06-03,22.0,8980900,HUM,-8.333333333333332
176,1996-06-10,19.0,11409700,HUM,-13.636363636363635
177,1996-06-17,18.875,4309700,HUM,-0.6578947368421052
178,1996-06-24,18.375,3033100,HUM,-2.6490066225165565
179,1996-07-01,18.125,2174100,HUM,-1.3605442176870748
180,1996-07-08,17.25,5180400,HUM,-4.827586206896552
181,1996-07-15,16.0,3429500,HUM,-7.246376811594203
182,1996-07-22,16.75,2750700,HUM,4.6875
183,1996-07-29,16.75,3717100,HUM,0.0
184,1996-08-05,16.375,6839400,HUM,-2.2388059701492535
185,1996-08-12,19.0,2787000,HUM,16.030534351145036
186,1996-08-19,18.625,2069200,HUM,-1.973684210526316
187,1996-08-26,18.75,3269600,HUM,0.6711409395973155
188,1996-09-02,18.25,5695800,HUM,-2.666666666666667
189,1996-09-09,20.25,6471700,HUM,10.95890410958904
190,1996-09-16,20.5,4431200,HUM,1.2345679012345678
191,1996-09-23,21.125,2838500,HUM,3.048780487804878
192,1996-09-30,20.125,2174700,HUM,-4.733727810650888
193,1996-10-07,20.625,3363100,HUM,2.484472049689441
194,1996-10-14,19.625,4593800,HUM,-4.848484848484849
195,1996-10-21,19.5,4705000,HUM,-0.6369426751592357
196,1996-10-28,18.625,3652200,HUM,-4.487179487179487
197,1996-11-04,18.25,4355500,HUM,-2.013422818791946
198,1996-11-11,20.25,1597800,HUM,10.95890410958904
199,1996-11-18,19.125,3378900,HUM,-5.555555555555555
200,1996-11-25,18.875,1856700,HUM,-1.3071895424836601
201,1996-12-02,18.875,4094500,HUM,0.0
202,1996-12-09,20.0,2265500,HUM,5.960264900662252
203,1996-12-16,19.25,3042600,HUM,-3.75
204,1996-12-23,19.875,1324200,HUM,3.2467532467532463
205,1996-12-30,19.875,3819300,HUM,0.0
206,1997-01-06,19.0,2629100,HUM,-4.40251572327044
207,1997-01-13,18.75,4911800,HUM,-1.3157894736842104
208,1997-01-20,18.25,4175800,HUM,-2.666666666666667
209,1997-01-27,18.75,3654200,HUM,2.73972602739726
210,1997-02-03,19.25,3044400,HUM,2.666666666666667
211,1997-02-10,18.125,3691500,HUM,-5.844155844155844
212,1997-02-17,20.0,2190400,HUM,10.344827586206897
213,1997-02-24,19.875,3316700,HUM,-0.625
214,1997-03-03,19.75,9813100,HUM,-0.628930817610063
215,1997-03-10,22.5,5547900,HUM,13.924050632911392
216,1997-03-17,22.0,2698300,HUM,-2.2222222222222228
217,1997-03-24,22.0,2006400,HUM,0.0
218,1997-03-31,21.625,2631700,HUM,-1.7045454545454544
219,1997-04-07,21.0,2122600,HUM,-2.890173410404624
220,1997-04-14,20.625,2256200,HUM,-1.7857142857142856
221,1997-04-21,20.125,2572100,HUM,-2.424242424242424
222,1997-04-28,20.125,2478300,HUM,0.0
223,1997-05-05,21.625,3425700,HUM,7.453416149068323
224,1997-05-12,21.3125,2144400,HUM,-1.445086705202312
225,1997-05-19,21.375,1442700,HUM,0.2932551319648094
226,1997-05-26,21.75,1857500,HUM,1.7543859649122806
227,1997-06-02,23.0,4959100,HUM,5.747126436781609
228,1997-06-09,23.25,5985200,HUM,1.0869565217391304
229,1997-06-16,24.0,4902500,HUM,3.225806451612903
230,1997-06-23,24.0,3733200,HUM,0.0
231,1997-06-30,22.5,2206100,HUM,-6.25
232,1997-07-07,22.75,2448300,HUM,1.1111111111111114
233,1997-07-14,23.5,2128300,HUM,3.296703296703297
234,1997-07-21,23.25,1874700,HUM,-1.0638297872340423
235,1997-07-28,23.625,2451800,HUM,1.6129032258064515
236,1997-08-04,23.9375,3195700,HUM,1.3227513227513228
