,date,open,volume,ticker,change
0,1993-01-25,3.25,2068000,NBR,
1,1993-02-01,3.375,1506600,NBR,3.8461538461538463
2,1993-02-08,3.375,2514200,NBR,0.0
3,1993-02-15,3.5,2478600,NBR,3.7037037037037033
4,1993-02-22,3.6875,2661200,NBR,5.357142857142857
5,1993-03-01,3.875,2357400,NBR,5.084745762711865
6,1993-03-08,3.9375,1079800,NBR,1.6129032258064515
7,1993-03-15,3.8125,2326400,NBR,-3.1746031746031744
8,1993-03-22,3.8125,1723400,NBR,0.0
9,1993-03-29,3.875,1829000,NBR,1.6393442622950818
10,1993-04-05,3.9375,2113600,NBR,1.6129032258064515
11,1993-04-12,4.1875,3317400,NBR,6.349206349206349
12,1993-04-19,4.1875,4836200,NBR,0.0
13,1993-04-26,4.5625,4872400,NBR,8.955223880597014
14,1993-05-03,4.6875,2863000,NBR,2.73972602739726
15,1993-05-10,4.8125,5890800,NBR,2.666666666666667
16,1993-05-17,4.8125,1741200,NBR,0.0
17,1993-05-24,4.5625,1593600,NBR,-5.194805194805195
18,1993-05-31,4.75,3366400,NBR,4.10958904109589
19,1993-06-07,5.1875,2940400,NBR,9.210526315789473
20,1993-06-14,5.0625,1957200,NBR,-2.409638554216868
21,1993-06-21,5.25,1370400,NBR,3.7037037037037033
22,1993-06-28,4.9375,1861600,NBR,-5.9523809523809526
23,1993-07-05,4.9375,888200,NBR,0.0
24,1993-07-12,4.75,1096000,NBR,-3.79746835443038
25,1993-07-19,4.5,1260400,NBR,-5.263157894736842
26,1993-07-26,4.4375,1017400,NBR,-1.3888888888888888
27,1993-08-02,4.6875,1100200,NBR,5.633802816901409
28,1993-08-09,4.6875,1811000,NBR,0.0
29,1993-08-16,4.75,7020200,NBR,1.3333333333333335
30,1993-08-23,4.9375,3131800,NBR,3.947368421052632
31,1993-08-30,4.875,2531000,NBR,-1.2658227848101267
32,1993-09-06,5.125,1489600,NBR,5.128205128205128
33,1993-09-13,4.5,3098000,NBR,-12.195121951219512
34,1993-09-20,4.3125,1535000,NBR,-4.166666666666666
35,1993-09-27,4.4375,1387600,NBR,2.8985507246376807
36,1993-10-04,4.875,1381600,NBR,9.859154929577464
37,1993-10-11,4.6875,1533000,NBR,-3.8461538461538463
38,1993-10-18,4.4375,1977600,NBR,-5.333333333333334
39,1993-10-25,4.375,2190600,NBR,-1.4084507042253518
40,1993-11-01,4.3125,1367200,NBR,-1.4285714285714284
41,1993-11-08,4.0625,1232000,NBR,-5.797101449275361
42,1993-11-15,4.125,1215000,NBR,1.5384615384615383
43,1993-11-22,4.0,1164400,NBR,-3.0303030303030307
44,1993-11-29,3.625,4243000,NBR,-9.375
45,1993-12-06,3.4375,2742600,NBR,-5.172413793103448
46,1993-12-13,3.375,2303800,NBR,-1.8181818181818181
47,1993-12-20,3.125,2034800,NBR,-7.4074074074074066
48,1993-12-27,3.375,2543400,NBR,8.0
49,1994-01-03,3.875,1708800,NBR,14.814814814814813
50,1994-01-10,3.875,1025600,NBR,0.0
51,1994-01-17,3.5625,1387200,NBR,-8.064516129032258
52,1994-01-24,3.5,2494000,NBR,-1.7543859649122806
53,1994-01-31,3.8125,2082400,NBR,8.928571428571429
54,1994-02-07,3.5,1706200,NBR,-8.19672131147541
55,1994-02-14,3.5,2404000,NBR,0.0
56,1994-02-21,3.4375,1618200,NBR,-1.7857142857142856
57,1994-02-28,3.375,1569000,NBR,-1.8181818181818181
58,1994-03-07,3.4375,1571800,NBR,1.8518518518518516
59,1994-03-14,3.375,1881400,NBR,-1.8181818181818181
60,1994-03-21,3.8125,1757200,NBR,12.962962962962962
61,1994-03-28,3.5,1257200,NBR,-8.19672131147541
62,1994-04-04,3.1875,2286600,NBR,-8.928571428571429
63,1994-04-11,3.1875,2022200,NBR,0.0
64,1994-04-18,3.4375,805600,NBR,7.8431372549019605
65,1994-04-25,3.5,849000,NBR,1.8181818181818181
66,1994-05-02,3.5,1909800,NBR,0.0
67,1994-05-09,3.3125,2561600,NBR,-5.357142857142857
68,1994-05-16,3.125,1149200,NBR,-5.660377358490567
69,1994-05-23,3.3125,1126600,NBR,6.0
70,1994-05-30,3.3125,785400,NBR,0.0
71,1994-06-06,3.3125,1132000,NBR,0.0
72,1994-06-13,3.375,3064000,NBR,1.8867924528301887
73,1994-06-20,3.625,1661000,NBR,7.4074074074074066
74,1994-06-27,3.5,886000,NBR,-3.448275862068965
75,1994-07-04,3.5625,1455000,NBR,1.7857142857142856
76,1994-07-11,3.4375,1261400,NBR,-3.508771929824561
77,1994-07-18,3.5625,744800,NBR,3.6363636363636362
78,1994-07-25,3.4375,1148800,NBR,-3.508771929824561
79,1994-08-01,3.375,910800,NBR,-1.8181818181818181
80,1994-08-08,3.3125,2555600,NBR,-1.8518518518518516
81,1994-08-15,3.1875,3806800,NBR,-3.7735849056603774
82,1994-08-22,3.1875,2352400,NBR,0.0
83,1994-08-29,3.0,3666200,NBR,-5.882352941176471
84,1994-09-05,3.1875,1628000,NBR,6.25
85,1994-09-12,3.0625,3176800,NBR,-3.9215686274509802
86,1994-09-19,3.25,2028400,NBR,6.122448979591836
87,1994-09-26,3.0,1670400,NBR,-7.6923076923076925
88,1994-10-03,3.125,2387800,NBR,4.166666666666666
89,1994-10-10,3.3125,1589400,NBR,6.0
90,1994-10-17,3.1875,1540000,NBR,-3.7735849056603774
91,1994-10-24,3.375,3235000,NBR,5.882352941176471
92,1994-10-31,3.75,2855200,NBR,11.11111111111111
93,1994-11-07,3.6875,2301400,NBR,-1.6666666666666667
94,1994-11-14,3.6875,2195200,NBR,0.0
95,1994-11-21,3.75,1334200,NBR,1.694915254237288
96,1994-11-28,3.9375,2103000,NBR,5.0
97,1994-12-05,3.5,1740200,NBR,-11.11111111111111
98,1994-12-12,3.3125,2188000,NBR,-5.357142857142857
99,1994-12-19,3.25,1712800,NBR,-1.8867924528301887
100,1994-12-26,3.1875,2698600,NBR,-1.9230769230769231
101,1995-01-02,3.375,3113800,NBR,5.882352941176471
102,1995-01-09,3.3125,1363000,NBR,-1.8518518518518516
103,1995-01-16,3.125,679200,NBR,-5.660377358490567
104,1995-01-23,3.125,2155800,NBR,0.0
105,1995-01-30,3.25,1253000,NBR,4.0
106,1995-02-06,3.125,1171000,NBR,-3.8461538461538463
107,1995-02-13,3.21875,1190800,NBR,3.0
108,1995-02-20,3.25,1208200,NBR,0.9708737864077669
109,1995-02-27,3.1875,1621400,NBR,-1.9230769230769231
110,1995-03-06,3.4375,2130800,NBR,7.8431372549019605
111,1995-03-13,3.5,1578800,NBR,1.8181818181818181
112,1995-03-20,3.5625,1004200,NBR,1.7857142857142856
113,1995-03-27,3.5,2243800,NBR,-1.7543859649122806
114,1995-04-03,3.75,3071800,NBR,7.142857142857142
115,1995-04-10,3.75,1431200,NBR,0.0
116,1995-04-17,4.0625,2981600,NBR,8.333333333333332
117,1995-04-24,4.15625,5921000,NBR,2.3076923076923084
118,1995-05-01,4.75,2954200,NBR,14.285714285714285
119,1995-05-08,4.4375,2606400,NBR,-6.578947368421052
120,1995-05-15,4.28125,1099400,NBR,-3.5211267605633805
121,1995-05-22,4.40625,1892200,NBR,2.91970802919708
122,1995-05-29,4.4375,1095000,NBR,0.7092198581560284
123,1995-06-05,4.5625,987200,NBR,2.8169014084507045
124,1995-06-12,4.4375,2447200,NBR,-2.73972602739726
125,1995-06-19,4.75,2989800,NBR,7.042253521126761
126,1995-06-26,4.1875,1413800,NBR,-11.842105263157896
127,1995-07-03,4.125,1356800,NBR,-1.492537313432836
128,1995-07-10,4.09375,1770000,NBR,-0.7575757575757577
129,1995-07-17,4.0,1153200,NBR,-2.2900763358778624
130,1995-07-24,4.3125,1668200,NBR,7.8125
131,1995-07-31,4.34375,2085600,NBR,0.7246376811594203
132,1995-08-07,4.4375,766200,NBR,2.158273381294964
133,1995-08-14,4.3125,2056200,NBR,-2.8169014084507045
134,1995-08-21,4.34375,880400,NBR,0.7246376811594203
135,1995-08-28,4.375,2267400,NBR,0.7194244604316548
136,1995-09-04,4.71875,2137200,NBR,7.857142857142857
137,1995-09-11,4.78125,1969800,NBR,1.324503311258278
138,1995-09-18,4.875,2464000,NBR,1.9607843137254901
139,1995-09-25,4.75,2786200,NBR,-2.564102564102564
140,1995-10-02,4.71875,1257400,NBR,-0.6578947368421052
141,1995-10-09,4.46875,2591400,NBR,-5.298013245033113
142,1995-10-16,4.5,1239800,NBR,0.6993006993006993
143,1995-10-23,4.59375,2040400,NBR,2.083333333333333
144,1995-10-30,4.21875,2314400,NBR,-8.163265306122447
145,1995-11-06,4.28125,1074600,NBR,1.4814814814814816
146,1995-11-13,4.25,1290400,NBR,-0.7299270072992702
147,1995-11-20,4.625,1474800,NBR,8.823529411764707
148,1995-11-27,4.65625,2993000,NBR,0.6756756756756757
149,1995-12-04,4.875,4649600,NBR,4.697986577181208
150,1995-12-11,5.3125,4539600,NBR,8.974358974358974
151,1995-12-18,5.5,4481000,NBR,3.529411764705882
152,1995-12-25,5.5625,1594400,NBR,1.1363636363636365
153,1996-01-01,5.5625,1340400,NBR,0.0
154,1996-01-08,5.5,3145600,NBR,-1.1235955056179776
155,1996-01-15,5.3125,2695600,NBR,-3.4090909090909087
156,1996-01-22,5.25,2629400,NBR,-1.1764705882352942
157,1996-01-29,5.8125,2715200,NBR,10.714285714285714
158,1996-02-05,6.0,1740800,NBR,3.225806451612903
159,1996-02-12,6.0625,2690400,NBR,1.0416666666666665
160,1996-02-19,6.5,3298800,NBR,7.216494845360824
161,1996-02-26,6.625,1337200,NBR,1.9230769230769231
