,date,open,volume,ticker,change
0,1993-01-25,11.25,1012000,OI,
1,1993-02-01,11.5,1134800,OI,2.2222222222222228
2,1993-02-08,11.125,1625300,OI,-3.260869565217391
3,1993-02-15,11.75,996600,OI,5.617977528089888
4,1993-02-22,11.375,1275800,OI,-3.1914893617021276
5,1993-03-01,11.5,804300,OI,1.098901098901099
6,1993-03-08,11.625,1033600,OI,1.0869565217391304
7,1993-03-15,11.75,661100,OI,1.0752688172043012
8,1993-03-22,11.625,835200,OI,-1.0638297872340423
9,1993-03-29,11.5,963300,OI,-1.0752688172043012
10,1993-04-05,11.25,472000,OI,-2.1739130434782608
11,1993-04-12,11.25,2295300,OI,0.0
12,1993-04-19,11.625,1382100,OI,3.3333333333333335
13,1993-04-26,11.75,3337700,OI,1.0752688172043012
14,1993-05-03,11.0,1063900,OI,-6.382978723404255
15,1993-05-10,11.25,931300,OI,2.272727272727273
16,1993-05-17,11.125,547100,OI,-1.1111111111111114
17,1993-05-24,11.375,518600,OI,2.247191011235955
18,1993-05-31,11.25,556800,OI,-1.098901098901099
19,1993-06-07,11.25,550200,OI,0.0
20,1993-06-14,11.0,538900,OI,-2.2222222222222228
21,1993-06-21,11.125,617600,OI,1.1363636363636365
22,1993-06-28,11.375,648900,OI,2.247191011235955
23,1993-07-05,11.375,703900,OI,0.0
24,1993-07-12,11.375,724400,OI,0.0
25,1993-07-19,11.5,353400,OI,1.098901098901099
26,1993-07-26,11.5,496500,OI,0.0
27,1993-08-02,11.25,1030700,OI,-2.1739130434782608
28,1993-08-09,10.875,1017400,OI,-3.3333333333333335
29,1993-08-16,11.125,1951500,OI,2.298850574712644
30,1993-08-23,10.75,1212200,OI,-3.3707865168539324
31,1993-08-30,10.0,2330000,OI,-6.976744186046513
32,1993-09-06,10.25,866900,OI,2.5
33,1993-09-13,9.875,5678400,OI,-3.658536585365853
34,1993-09-20,9.625,987000,OI,-2.5316455696202533
35,1993-09-27,9.75,960300,OI,1.2987012987012987
36,1993-10-04,9.75,1018500,OI,0.0
37,1993-10-11,9.5,1688100,OI,-2.564102564102564
38,1993-10-18,10.5,1526700,OI,10.526315789473683
39,1993-10-25,10.0,1157200,OI,-4.761904761904762
40,1993-11-01,10.0,956100,OI,0.0
41,1993-11-08,10.0,551400,OI,0.0
42,1993-11-15,10.125,677700,OI,1.25
43,1993-11-22,10.375,332800,OI,2.469135802469136
44,1993-11-29,10.5,2748100,OI,1.2048192771084338
45,1993-12-06,11.0,842600,OI,4.761904761904762
46,1993-12-13,11.5,1035800,OI,4.545454545454546
47,1993-12-20,11.5,461900,OI,0.0
48,1993-12-27,11.25,1418300,OI,-2.1739130434782608
49,1994-01-03,12.125,1727600,OI,7.777777777777778
50,1994-01-10,12.0,1401000,OI,-1.0309278350515463
51,1994-01-17,12.25,854900,OI,2.083333333333333
52,1994-01-24,12.125,634600,OI,-1.020408163265306
53,1994-01-31,12.0,2062500,OI,-1.0309278350515463
54,1994-02-07,12.125,3064600,OI,1.0416666666666665
55,1994-02-14,12.625,1257700,OI,4.123711340206185
56,1994-02-21,12.375,865500,OI,-1.98019801980198
57,1994-02-28,12.5,1469500,OI,1.0101010101010102
58,1994-03-07,11.875,1154600,OI,-5.0
59,1994-03-14,11.625,661500,OI,-2.1052631578947367
60,1994-03-21,12.25,797500,OI,5.376344086021505
61,1994-03-28,11.875,1070600,OI,-3.061224489795918
62,1994-04-04,10.875,812100,OI,-8.421052631578947
