,date,open,volume,ticker,change
0,1993-01-25,33.0,2210300,PCG,
1,1993-02-01,33.375,1983000,PCG,1.1363636363636365
2,1993-02-08,34.0,2011900,PCG,1.8726591760299627
3,1993-02-15,33.375,1761800,PCG,-1.8382352941176467
4,1993-02-22,34.0,2306100,PCG,1.8726591760299627
5,1993-03-01,35.375,2026700,PCG,4.044117647058823
6,1993-03-08,35.125,2660200,PCG,-0.7067137809187279
7,1993-03-15,34.375,1785800,PCG,-2.135231316725979
8,1993-03-22,34.125,1800000,PCG,-0.7272727272727274
9,1993-03-29,34.375,1692700,PCG,0.7326007326007327
10,1993-04-05,34.375,1854400,PCG,0.0
11,1993-04-12,35.0,2961300,PCG,1.8181818181818181
12,1993-04-19,34.625,2610900,PCG,-1.0714285714285714
13,1993-04-26,33.25,2582400,PCG,-3.971119133574008
14,1993-05-03,32.5,2368200,PCG,-2.2556390977443606
15,1993-05-10,32.625,2698100,PCG,0.3846153846153847
16,1993-05-17,32.5,4017900,PCG,-0.38314176245210724
17,1993-05-24,33.0,2625100,PCG,1.5384615384615383
18,1993-05-31,34.375,2001600,PCG,4.166666666666666
19,1993-06-07,34.375,2677100,PCG,0.0
20,1993-06-14,33.75,3190000,PCG,-1.8181818181818181
21,1993-06-21,32.875,2443200,PCG,-2.5925925925925926
22,1993-06-28,33.0,2430900,PCG,0.38022813688212925
23,1993-07-05,33.25,1515400,PCG,0.7575757575757577
24,1993-07-12,34.0,2396500,PCG,2.2556390977443606
25,1993-07-19,34.75,1929100,PCG,2.205882352941177
26,1993-07-26,34.125,2301300,PCG,-1.7985611510791366
27,1993-08-02,34.75,1871700,PCG,1.8315018315018319
28,1993-08-09,34.625,1679000,PCG,-0.3597122302158274
29,1993-08-16,35.625,1927400,PCG,2.888086642599278
30,1993-08-23,35.5,1875200,PCG,-0.3508771929824561
31,1993-08-30,35.75,2448200,PCG,0.7042253521126761
32,1993-09-06,36.125,2161000,PCG,1.048951048951049
33,1993-09-13,35.75,3462300,PCG,-1.0380622837370241
34,1993-09-20,36.25,2285000,PCG,1.3986013986013985
35,1993-09-27,35.75,1827900,PCG,-1.3793103448275863
36,1993-10-04,35.875,2088700,PCG,0.34965034965034963
37,1993-10-11,35.5,2098000,PCG,-1.0452961672473868
38,1993-10-18,36.25,2168500,PCG,2.112676056338028
39,1993-10-25,35.75,2444000,PCG,-1.3793103448275863
40,1993-11-01,36.25,3342000,PCG,1.3986013986013985
41,1993-11-08,34.375,2995400,PCG,-5.172413793103448
42,1993-11-15,33.875,2478700,PCG,-1.4545454545454544
43,1993-11-22,33.75,1539800,PCG,-0.3690036900369004
44,1993-11-29,35.125,1975900,PCG,4.0740740740740735
45,1993-12-06,34.375,22498900,PCG,-2.135231316725979
46,1993-12-13,33.875,3508700,PCG,-1.4545454545454544
47,1993-12-20,34.625,1392800,PCG,2.2140221402214015
48,1993-12-27,35.125,1613600,PCG,1.444043321299639
49,1994-01-03,34.875,3257100,PCG,-0.7117437722419929
50,1994-01-10,32.875,2197800,PCG,-5.734767025089607
51,1994-01-17,32.875,2507300,PCG,0.0
52,1994-01-24,32.75,3156600,PCG,-0.38022813688212925
53,1994-01-31,33.625,1573500,PCG,2.67175572519084
54,1994-02-07,32.25,2907500,PCG,-4.089219330855018
55,1994-02-14,31.375,2533000,PCG,-2.713178294573644
56,1994-02-21,30.125,2573700,PCG,-3.9840637450199203
57,1994-02-28,31.125,3264200,PCG,3.319502074688797
58,1994-03-07,32.125,2902900,PCG,3.2128514056224895
59,1994-03-14,30.875,4122000,PCG,-3.8910505836575884
60,1994-03-21,30.625,1900900,PCG,-0.8097165991902834
61,1994-03-28,30.375,3519300,PCG,-0.8163265306122449
62,1994-04-04,28.75,3568000,PCG,-5.3497942386831285
63,1994-04-11,28.75,2091300,PCG,0.0
64,1994-04-18,29.0,5435700,PCG,0.8695652173913043
65,1994-04-25,27.375,3889700,PCG,-5.603448275862069
66,1994-05-02,26.25,5516500,PCG,-4.10958904109589
67,1994-05-09,23.875,7496900,PCG,-9.047619047619047
68,1994-05-16,23.75,4889700,PCG,-0.5235602094240838
69,1994-05-23,24.875,3255400,PCG,4.736842105263158
70,1994-05-30,25.75,1441400,PCG,3.5175879396984926
71,1994-06-06,25.875,3057900,PCG,0.48543689320388345
72,1994-06-13,23.75,3786500,PCG,-8.212560386473431
73,1994-06-20,23.25,3481200,PCG,-2.1052631578947367
74,1994-06-27,23.25,3975200,PCG,0.0
75,1994-07-04,24.125,1618400,PCG,3.763440860215054
76,1994-07-11,24.375,1952000,PCG,1.0362694300518136
77,1994-07-18,24.125,1710800,PCG,-1.0256410256410255
78,1994-07-25,23.625,1725000,PCG,-2.072538860103627
79,1994-08-01,24.125,2500100,PCG,2.1164021164021163
80,1994-08-08,24.625,2339300,PCG,2.072538860103627
81,1994-08-15,24.375,3098900,PCG,-1.015228426395939
82,1994-08-22,23.875,2227000,PCG,-2.0512820512820515
83,1994-08-29,24.5,2083300,PCG,2.617801047120419
84,1994-09-05,24.25,7098700,PCG,-1.020408163265306
85,1994-09-12,22.625,3102400,PCG,-6.701030927835052
86,1994-09-19,22.625,2232200,PCG,0.0
87,1994-09-26,22.25,2034500,PCG,-1.6574585635359116
88,1994-10-03,22.75,12618300,PCG,2.247191011235955
89,1994-10-10,21.875,3405200,PCG,-3.8461538461538463
90,1994-10-17,22.625,2267900,PCG,3.428571428571429
91,1994-10-24,22.375,2664500,PCG,-1.1049723756906076
92,1994-10-31,22.625,2386800,PCG,1.1173184357541899
93,1994-11-07,22.5,1872400,PCG,-0.5524861878453038
94,1994-11-14,22.375,2279500,PCG,-0.5555555555555557
95,1994-11-21,22.125,3395200,PCG,-1.1173184357541899
96,1994-11-28,23.75,3237800,PCG,7.344632768361582
97,1994-12-05,24.125,6970900,PCG,1.5789473684210527
98,1994-12-12,24.125,6375000,PCG,0.0
99,1994-12-19,24.75,1461300,PCG,2.590673575129533
100,1994-12-26,24.875,1134800,PCG,0.5050505050505051
101,1995-01-02,24.375,1091000,PCG,-2.0100502512562812
102,1995-01-09,24.375,1798600,PCG,0.0
103,1995-01-16,24.875,2642900,PCG,2.0512820512820515
104,1995-01-23,24.875,2818300,PCG,0.0
105,1995-01-30,25.0,5241300,PCG,0.5025125628140703
106,1995-02-06,25.375,3253600,PCG,1.5
107,1995-02-13,25.125,2707100,PCG,-0.9852216748768471
108,1995-02-20,25.125,2313500,PCG,0.0
109,1995-02-27,25.5,2736400,PCG,1.492537313432836
110,1995-03-06,25.25,3753400,PCG,-0.9803921568627451
111,1995-03-13,24.75,3627400,PCG,-1.98019801980198
112,1995-03-20,24.75,2666400,PCG,0.0
113,1995-03-27,25.375,2364100,PCG,2.525252525252525
114,1995-04-03,24.75,3862500,PCG,-2.4630541871921183
115,1995-04-10,25.875,3321000,PCG,4.545454545454546
116,1995-04-17,26.0,2486700,PCG,0.4830917874396135
117,1995-04-24,26.375,2688800,PCG,1.4423076923076925
118,1995-05-01,26.875,2965300,PCG,1.8957345971563986
119,1995-05-08,26.75,1879200,PCG,-0.46511627906976744
120,1995-05-15,26.75,3256200,PCG,0.0
121,1995-05-22,26.75,4689100,PCG,0.0
122,1995-05-29,28.25,3288300,PCG,5.6074766355140175
123,1995-06-05,29.125,3737300,PCG,3.0973451327433623
124,1995-06-12,28.625,4557400,PCG,-1.7167381974248928
125,1995-06-19,28.625,2352700,PCG,0.0
126,1995-06-26,28.875,2910200,PCG,0.8733624454148471
127,1995-07-03,29.0,2007000,PCG,0.4329004329004329
128,1995-07-10,29.375,2713800,PCG,1.293103448275862
129,1995-07-17,29.125,2577500,PCG,-0.851063829787234
130,1995-07-24,29.25,2153000,PCG,0.4291845493562232
131,1995-07-31,29.5,1803700,PCG,0.8547008547008548
132,1995-08-07,29.25,2695000,PCG,-0.847457627118644
133,1995-08-14,28.875,2610200,PCG,-1.282051282051282
134,1995-08-21,29.0,2587900,PCG,0.4329004329004329
135,1995-08-28,29.125,2283300,PCG,0.43103448275862066
136,1995-09-04,28.75,1868300,PCG,-1.2875536480686696
137,1995-09-11,28.5,4822000,PCG,-0.8695652173913043
138,1995-09-18,28.875,2280100,PCG,1.3157894736842104
139,1995-09-25,29.0,4890900,PCG,0.4329004329004329
140,1995-10-02,29.75,2804000,PCG,2.586206896551724
141,1995-10-09,29.75,2027700,PCG,0.0
142,1995-10-16,29.5,2112900,PCG,-0.8403361344537815
143,1995-10-23,30.0,3027100,PCG,1.694915254237288
144,1995-10-30,29.875,2155100,PCG,-0.41666666666666674
145,1995-11-06,29.5,3843600,PCG,-1.2552301255230123
146,1995-11-13,29.25,3168400,PCG,-0.847457627118644
147,1995-11-20,29.0,2738300,PCG,-0.8547008547008548
148,1995-11-27,27.875,3326700,PCG,-3.8793103448275863
149,1995-12-04,27.625,2825300,PCG,-0.8968609865470852
150,1995-12-11,27.75,5607800,PCG,0.4524886877828055
151,1995-12-18,28.625,3682700,PCG,3.153153153153153
152,1995-12-25,27.75,2040700,PCG,-3.056768558951965
153,1996-01-01,28.375,2421000,PCG,2.252252252252252
154,1996-01-08,28.25,4321200,PCG,-0.4405286343612335
155,1996-01-15,27.625,3102200,PCG,-2.212389380530973
156,1996-01-22,27.375,4013700,PCG,-0.904977375565611
157,1996-01-29,27.625,1876700,PCG,0.91324200913242
158,1996-02-05,27.0,2528700,PCG,-2.2624434389140267
159,1996-02-12,27.5,4177800,PCG,1.8518518518518516
160,1996-02-19,26.375,4252800,PCG,-4.090909090909092
161,1996-02-26,25.75,3845700,PCG,-2.3696682464454972
162,1996-03-04,25.625,3717600,PCG,-0.48543689320388345
163,1996-03-11,25.375,8323500,PCG,-0.975609756097561
164,1996-03-18,24.375,4229000,PCG,-3.9408866995073883
165,1996-03-25,25.75,9054900,PCG,5.641025641025641
166,1996-04-01,22.375,7538600,PCG,-13.106796116504855
167,1996-04-08,23.0,6846600,PCG,2.793296089385475
168,1996-04-15,23.0,7369700,PCG,0.0
169,1996-04-22,23.0,5530800,PCG,0.0
170,1996-04-29,22.5,4290100,PCG,-2.1739130434782608
171,1996-05-06,22.25,4378900,PCG,-1.1111111111111114
172,1996-05-13,22.75,3962900,PCG,2.247191011235955
173,1996-05-20,22.625,4502800,PCG,-0.5494505494505495
174,1996-05-27,23.0,3864000,PCG,1.6574585635359116
175,1996-06-03,23.0,3758200,PCG,0.0
176,1996-06-10,23.375,8685900,PCG,1.6304347826086956
177,1996-06-17,22.875,6597500,PCG,-2.13903743315508
178,1996-06-24,22.5,4172300,PCG,-1.6393442622950818
179,1996-07-01,23.25,2973900,PCG,3.3333333333333335
180,1996-07-08,22.25,5154500,PCG,-4.301075268817205
181,1996-07-15,22.125,4015200,PCG,-0.5617977528089888
182,1996-07-22,21.25,5089200,PCG,-3.954802259887006
183,1996-07-29,20.125,4031000,PCG,-5.294117647058823
184,1996-08-05,20.375,2513900,PCG,1.2422360248447204
185,1996-08-12,20.125,3730400,PCG,-1.2269938650306749
186,1996-08-19,20.0,4324100,PCG,-0.6211180124223602
187,1996-08-26,21.0,7151900,PCG,5.0
188,1996-09-02,22.75,3914900,PCG,8.333333333333332
189,1996-09-09,22.25,4754700,PCG,-2.197802197802198
190,1996-09-16,21.75,2878100,PCG,-2.247191011235955
191,1996-09-23,21.625,3186200,PCG,-0.5747126436781609
192,1996-09-30,21.625,4142400,PCG,0.0
193,1996-10-07,22.25,4884100,PCG,2.890173410404624
194,1996-10-14,22.875,10146200,PCG,2.808988764044944
195,1996-10-21,22.75,8098900,PCG,-0.546448087431694
196,1996-10-28,23.25,5713700,PCG,2.197802197802198
197,1996-11-04,23.375,4415700,PCG,0.5376344086021506
198,1996-11-11,23.625,4808800,PCG,1.06951871657754
199,1996-11-18,23.75,3805600,PCG,0.5291005291005291
200,1996-11-25,23.75,2186500,PCG,0.0
201,1996-12-02,24.0,4007600,PCG,1.0526315789473684
202,1996-12-09,23.875,5135700,PCG,-0.5208333333333333
203,1996-12-16,22.75,6434500,PCG,-4.712041884816754
204,1996-12-23,22.0,9527900,PCG,-3.296703296703297
205,1996-12-30,21.5,6918200,PCG,-2.272727272727273
206,1997-01-06,21.5,5563100,PCG,0.0
207,1997-01-13,21.875,6291700,PCG,1.7441860465116283
208,1997-01-20,21.875,8104700,PCG,0.0
209,1997-01-27,22.375,7537400,PCG,2.2857142857142856
210,1997-02-03,22.5,5729600,PCG,0.5586592178770949
211,1997-02-10,22.75,9262700,PCG,1.1111111111111114
212,1997-02-17,23.0,7853000,PCG,1.098901098901099
213,1997-02-24,22.375,4287600,PCG,-2.717391304347826
214,1997-03-03,22.75,6031900,PCG,1.675977653631285
215,1997-03-10,22.5,8408800,PCG,-1.098901098901099
216,1997-03-17,23.125,6833200,PCG,2.7777777777777777
217,1997-03-24,23.75,7412900,PCG,2.702702702702703
218,1997-03-31,23.25,4522600,PCG,-2.1052631578947367
219,1997-04-07,23.0,5182300,PCG,-1.0752688172043012
220,1997-04-14,23.375,5999200,PCG,1.6304347826086956
221,1997-04-21,23.75,3580700,PCG,1.6042780748663104
222,1997-04-28,23.25,4127200,PCG,-2.1052631578947367
223,1997-05-05,24.25,7407600,PCG,4.301075268817205
224,1997-05-12,24.0,3395800,PCG,-1.0309278350515463
225,1997-05-19,23.125,5557600,PCG,-3.6458333333333335
226,1997-05-26,22.5,2493600,PCG,-2.702702702702703
227,1997-06-02,23.25,4535500,PCG,3.3333333333333335
228,1997-06-09,23.375,6549900,PCG,0.5376344086021506
229,1997-06-16,23.375,5654300,PCG,0.0
230,1997-06-23,23.875,3793700,PCG,2.13903743315508
231,1997-06-30,24.1875,2492900,PCG,1.3089005235602094
232,1997-07-07,24.875,4444300,PCG,2.842377260981912
233,1997-07-14,24.1875,6315500,PCG,-2.7638190954773867
234,1997-07-21,24.1875,4175300,PCG,0.0
235,1997-07-28,23.75,5392500,PCG,-1.8087855297157618
236,1997-08-04,24.625,13122600,PCG,3.6842105263157885
237,1997-08-11,23.9375,9910500,PCG,-2.7918781725888326
238,1997-08-18,23.625,4878500,PCG,-1.3054830287206265
239,1997-08-25,23.75,4561100,PCG,0.5291005291005291
240,1997-09-01,23.125,2877800,PCG,-2.631578947368421
241,1997-09-08,23.6875,3230200,PCG,2.432432432432433
242,1997-09-15,23.6875,3750500,PCG,0.0
243,1997-09-22,23.875,4385600,PCG,0.79155672823219
244,1997-09-29,22.75,4357500,PCG,-4.712041884816754
245,1997-10-06,23.5,3182900,PCG,3.296703296703297
246,1997-10-13,23.4375,4159000,PCG,-0.2659574468085107
247,1997-10-20,23.5625,4316500,PCG,0.5333333333333333
248,1997-10-27,24.0625,7942000,PCG,2.1220159151193636
249,1997-11-03,25.625,7687100,PCG,6.493506493506493
250,1997-11-10,25.625,4412100,PCG,0.0
251,1997-11-17,26.6875,4936900,PCG,4.146341463414633
252,1997-11-24,27.4375,2661200,PCG,2.810304449648712
253,1997-12-01,28.25,4164900,PCG,2.961275626423691
254,1997-12-08,28.25,4143200,PCG,0.0
255,1997-12-15,28.9375,5063800,PCG,2.4336283185840712
256,1997-12-22,30.0625,2629900,PCG,3.8876889848812093
257,1997-12-29,30.1875,2573900,PCG,0.4158004158004158
258,1998-01-05,30.625,5181200,PCG,1.4492753623188406
259,1998-01-12,29.625,5164600,PCG,-3.2653061224489797
260,1998-01-19,29.5,3947400,PCG,-0.42194092827004215
261,1998-01-26,29.6875,3881700,PCG,0.6355932203389831
262,1998-02-02,29.9375,3442800,PCG,0.8421052631578947
263,1998-02-09,30.0,3078800,PCG,0.20876826722338201
264,1998-02-16,29.5,2690700,PCG,-1.6666666666666667
265,1998-02-23,29.75,4038700,PCG,0.847457627118644
266,1998-03-02,30.0625,3487600,PCG,1.050420168067227
267,1998-03-09,30.0,4203200,PCG,-0.2079002079002079
268,1998-03-16,30.9375,4005000,PCG,3.125
269,1998-03-23,33.0,6074000,PCG,6.666666666666668
270,1998-03-30,32.25,5781200,PCG,-2.272727272727273
271,1998-04-06,32.875,5837400,PCG,1.937984496124031
272,1998-04-13,32.3125,5434600,PCG,-1.7110266159695817
273,1998-04-20,32.75,4406900,PCG,1.3539651837524178
274,1998-04-27,32.0,6919900,PCG,-2.2900763358778624
275,1998-05-04,32.0,5297100,PCG,0.0
276,1998-05-11,30.5625,5313200,PCG,-4.4921875
277,1998-05-18,30.3125,3037100,PCG,-0.81799591002045
278,1998-05-25,30.8125,2896900,PCG,1.6494845360824744
279,1998-06-01,31.5625,5760900,PCG,2.434077079107505
280,1998-06-08,32.5625,9602200,PCG,3.1683168316831685
281,1998-06-15,33.0,7179800,PCG,1.343570057581574
282,1998-06-22,32.0,4936000,PCG,-3.0303030303030307
283,1998-06-29,31.5625,2356500,PCG,-1.3671875
284,1998-07-06,31.75,2888800,PCG,0.594059405940594
285,1998-07-13,31.25,4572800,PCG,-1.574803149606299
286,1998-07-20,31.5,4827200,PCG,0.8
287,1998-07-27,31.5625,3761400,PCG,0.1984126984126984
288,1998-08-03,30.3125,4369600,PCG,-3.96039603960396
289,1998-08-10,30.6875,4393300,PCG,1.2371134020618557
290,1998-08-17,31.0,3544700,PCG,1.0183299389002036
291,1998-08-24,31.5625,4923000,PCG,1.8145161290322585
292,1998-08-31,32.625,6793000,PCG,3.3663366336633667
293,1998-09-07,31.25,7013700,PCG,-4.21455938697318
294,1998-09-14,31.9375,5326600,PCG,2.2
295,1998-09-21,32.75,4848000,PCG,2.5440313111545985
296,1998-09-28,32.25,5871000,PCG,-1.5267175572519085
297,1998-10-05,32.5625,8375000,PCG,0.9689922480620157
298,1998-10-12,33.0625,4928600,PCG,1.5355086372360844
299,1998-10-19,32.625,4607400,PCG,-1.3232514177693764
300,1998-10-26,32.3125,7119700,PCG,-0.957854406130268
301,1998-11-02,30.625,5242400,PCG,-5.222437137330753
302,1998-11-09,31.625,3379600,PCG,3.2653061224489797
303,1998-11-16,32.375,3342100,PCG,2.371541501976284
304,1998-11-23,31.875,2447200,PCG,-1.5444015444015444
305,1998-11-30,31.375,5248500,PCG,-1.5686274509803917
306,1998-12-07,31.9375,2777600,PCG,1.7928286852589643
307,1998-12-14,31.625,3582100,PCG,-0.9784735812133072
308,1998-12-21,32.25,1210300,PCG,1.9762845849802368
