,date,open,volume,ticker,change
0,1993-01-25,20.1875,632400,SWK,
1,1993-02-01,20.25,658400,SWK,0.30959752321981426
2,1993-02-08,21.0625,607400,SWK,4.012345679012346
3,1993-02-15,21.4375,572200,SWK,1.7804154302670623
4,1993-02-22,21.4375,848000,SWK,0.0
5,1993-03-01,21.0,756000,SWK,-2.040816326530612
6,1993-03-08,21.25,947400,SWK,1.1904761904761905
7,1993-03-15,21.0,776800,SWK,-1.1764705882352942
8,1993-03-22,21.6875,1154200,SWK,3.273809523809524
9,1993-03-29,22.4375,790600,SWK,3.45821325648415
10,1993-04-05,22.3125,609600,SWK,-0.5571030640668525
11,1993-04-12,23.5625,1142800,SWK,5.602240896358544
12,1993-04-19,23.5,517200,SWK,-0.2652519893899204
13,1993-04-26,22.9375,452600,SWK,-2.393617021276596
14,1993-05-03,23.25,479800,SWK,1.3623978201634876
15,1993-05-10,22.875,452800,SWK,-1.6129032258064515
16,1993-05-17,22.875,333600,SWK,0.0
17,1993-05-24,22.75,323400,SWK,-0.546448087431694
18,1993-05-31,22.4375,231200,SWK,-1.3736263736263736
19,1993-06-07,22.75,374600,SWK,1.3927576601671308
20,1993-06-14,22.0,454800,SWK,-3.296703296703297
21,1993-06-21,22.75,1460600,SWK,3.4090909090909087
22,1993-06-28,20.0,608800,SWK,-12.087912087912088
23,1993-07-05,19.9375,665400,SWK,-0.3125
24,1993-07-12,19.875,1342200,SWK,-0.3134796238244514
25,1993-07-19,20.875,635400,SWK,5.031446540880504
26,1993-07-26,20.875,356200,SWK,0.0
27,1993-08-02,20.625,368800,SWK,-1.1976047904191616
28,1993-08-09,21.375,219800,SWK,3.6363636363636362
29,1993-08-16,21.5,216200,SWK,0.5847953216374269
30,1993-08-23,21.1875,467000,SWK,-1.4534883720930232
31,1993-08-30,20.9375,304800,SWK,-1.1799410029498523
32,1993-09-06,21.0625,177200,SWK,0.5970149253731344
33,1993-09-13,20.625,471800,SWK,-2.077151335311573
34,1993-09-20,21.0,286400,SWK,1.8181818181818181
35,1993-09-27,20.875,356000,SWK,-0.5952380952380952
36,1993-10-04,20.3125,341800,SWK,-2.6946107784431144
37,1993-10-11,21.0,461400,SWK,3.3846153846153846
38,1993-10-18,20.5,640800,SWK,-2.380952380952381
39,1993-10-25,21.3125,308400,SWK,3.9634146341463423
40,1993-11-01,21.4375,514400,SWK,0.5865102639296188
41,1993-11-08,21.0625,285000,SWK,-1.749271137026239
42,1993-11-15,20.4375,726800,SWK,-2.9673590504451037
43,1993-11-22,19.75,516000,SWK,-3.3639143730886847
44,1993-11-29,19.625,728200,SWK,-0.6329113924050633
45,1993-12-06,20.5625,327800,SWK,4.777070063694268
46,1993-12-13,20.4375,445200,SWK,-0.60790273556231
47,1993-12-20,21.1875,420800,SWK,3.669724770642202
48,1993-12-27,21.375,359400,SWK,0.8849557522123894
49,1994-01-03,22.1875,673000,SWK,3.8011695906432745
50,1994-01-10,21.3125,517200,SWK,-3.943661971830986
51,1994-01-17,21.4375,407600,SWK,0.5865102639296188
52,1994-01-24,21.3125,846800,SWK,-0.5830903790087464
53,1994-01-31,21.6875,706400,SWK,1.759530791788856
54,1994-02-07,21.75,327800,SWK,0.2881844380403458
55,1994-02-14,22.125,224200,SWK,1.7241379310344827
56,1994-02-21,22.0,212200,SWK,-0.5649717514124294
57,1994-02-28,21.6875,356400,SWK,-1.4204545454545452
58,1994-03-07,21.125,314600,SWK,-2.5936599423631126
59,1994-03-14,20.875,575400,SWK,-1.183431952662722
60,1994-03-21,20.3125,483200,SWK,-2.6946107784431144
61,1994-03-28,19.5625,346000,SWK,-3.6923076923076925
62,1994-04-04,19.5625,603600,SWK,0.0
63,1994-04-11,20.0625,694000,SWK,2.5559105431309903
64,1994-04-18,20.125,545000,SWK,0.3115264797507788
65,1994-04-25,19.5,261800,SWK,-3.1055900621118004
