,date,open,volume,ticker,change
0,1995-11-13,3.75,12706000,WAT,
1,1995-11-20,3.75,3712800,WAT,0.0
2,1995-11-27,3.75,7808800,WAT,0.0
3,1995-12-04,3.53125,2444800,WAT,-5.833333333333333
4,1995-12-11,3.75,5874000,WAT,6.194690265486725
5,1995-12-18,4.25,2327600,WAT,13.333333333333334
6,1995-12-25,4.4375,780000,WAT,4.411764705882353
7,1996-01-01,4.5,1610400,WAT,1.4084507042253518
8,1996-01-08,4.65625,1167200,WAT,3.4722222222222223
9,1996-01-15,4.375,1663200,WAT,-6.040268456375839
10,1996-01-22,4.75,3227600,WAT,8.571428571428573
11,1996-01-29,4.96875,1936400,WAT,4.605263157894736
12,1996-02-05,4.78125,2319200,WAT,-3.7735849056603774
13,1996-02-12,4.78125,508000,WAT,0.0
14,1996-02-19,4.78125,1620400,WAT,0.0
15,1996-02-26,5.1875,908400,WAT,8.49673202614379
16,1996-03-04,5.1875,875600,WAT,0.0
17,1996-03-11,5.125,2676400,WAT,-1.2048192771084338
18,1996-03-18,5.9375,1262800,WAT,15.853658536585366
19,1996-03-25,5.8125,1037600,WAT,-2.1052631578947367
20,1996-04-01,6.09375,1353600,WAT,4.838709677419355
21,1996-04-08,7.0,2462800,WAT,14.871794871794872
22,1996-04-15,7.34375,1344000,WAT,4.910714285714286
23,1996-04-22,7.0,1815200,WAT,-4.680851063829787
24,1996-04-29,6.90625,484000,WAT,-1.3392857142857142
25,1996-05-06,7.0,505200,WAT,1.3574660633484164
26,1996-05-13,7.0625,334800,WAT,0.8928571428571428
27,1996-05-20,6.96875,1916400,WAT,-1.3274336283185841
28,1996-05-27,7.375,998000,WAT,5.829596412556054
29,1996-06-03,7.4375,23150800,WAT,0.847457627118644
30,1996-06-10,6.65625,5804800,WAT,-10.504201680672267
31,1996-06-17,7.03125,4638800,WAT,5.633802816901409
32,1996-06-24,7.1875,3585200,WAT,2.2222222222222228
33,1996-07-01,8.15625,2382800,WAT,13.478260869565215
34,1996-07-08,7.5,4621200,WAT,-8.045977011494253
35,1996-07-15,7.65625,4298400,WAT,2.083333333333333
36,1996-07-22,7.09375,2651200,WAT,-7.346938775510205
37,1996-07-29,7.0625,1370800,WAT,-0.4405286343612335
38,1996-08-05,7.40625,1787200,WAT,4.8672566371681425
39,1996-08-12,7.71875,1930400,WAT,4.219409282700422
40,1996-08-19,7.65625,3193200,WAT,-0.8097165991902834
41,1996-08-26,7.65625,1230000,WAT,0.0
42,1996-09-02,7.78125,2354400,WAT,1.6326530612244898
43,1996-09-09,7.34375,2260400,WAT,-5.622489959839356
44,1996-09-16,7.59375,1142800,WAT,3.404255319148936
45,1996-09-23,7.375,2730000,WAT,-2.880658436213992
46,1996-09-30,7.875,1427600,WAT,6.779661016949152
47,1996-10-07,8.15625,2873600,WAT,3.571428571428571
48,1996-10-14,8.21875,1438000,WAT,0.7662835249042145
49,1996-10-21,8.03125,1837600,WAT,-2.281368821292776
50,1996-10-28,7.84375,2575200,WAT,-2.334630350194553
51,1996-11-04,7.6875,3356800,WAT,-1.9920318725099602
52,1996-11-11,7.40625,2254000,WAT,-3.658536585365853
53,1996-11-18,7.34375,2143200,WAT,-0.8438818565400843
54,1996-11-25,7.25,2704400,WAT,-1.276595744680851
55,1996-12-02,6.78125,1866400,WAT,-6.4655172413793105
56,1996-12-09,7.15625,1035200,WAT,5.529953917050691
57,1996-12-16,7.53125,1342800,WAT,5.240174672489084
58,1996-12-23,7.5625,746400,WAT,0.4149377593360996
59,1996-12-30,7.625,1161600,WAT,0.8264462809917356
60,1997-01-06,7.5625,1444800,WAT,-0.8196721311475409
61,1997-01-13,7.34375,2334000,WAT,-2.8925619834710745
62,1997-01-20,7.1875,3527200,WAT,-2.127659574468085
63,1997-01-27,7.46875,2699200,WAT,3.91304347826087
64,1997-02-03,7.375,1534400,WAT,-1.2552301255230123
65,1997-02-10,7.5,2135200,WAT,1.694915254237288
66,1997-02-17,6.875,3488800,WAT,-8.333333333333332
67,1997-02-24,7.0,3815200,WAT,1.8181818181818181
68,1997-03-03,7.5,3657200,WAT,7.142857142857142
69,1997-03-10,7.28125,2876000,WAT,-2.9166666666666665
70,1997-03-17,7.0,1108000,WAT,-3.862660944206009
71,1997-03-24,6.8125,1103200,WAT,-2.6785714285714284
72,1997-03-31,6.8125,800800,WAT,0.0
73,1997-04-07,6.78125,4722400,WAT,-0.45871559633027537
74,1997-04-14,6.1875,1776000,WAT,-8.755760368663594
75,1997-04-21,6.09375,5792000,WAT,-1.5151515151515154
76,1997-04-28,6.9375,2094800,WAT,13.846153846153847
77,1997-05-05,7.4375,2806000,WAT,7.207207207207207
78,1997-05-12,7.5625,1329600,WAT,1.680672268907563
79,1997-05-19,7.65625,2754800,WAT,1.2396694214876032
80,1997-05-26,8.0,1081200,WAT,4.489795918367346
81,1997-06-02,8.03125,2186400,WAT,0.390625
82,1997-06-09,8.5625,5038000,WAT,6.614785992217899
83,1997-06-16,8.0625,2278000,WAT,-5.83941605839416
84,1997-06-23,8.0,4120000,WAT,-0.7751937984496123
85,1997-06-30,8.4375,2320400,WAT,5.46875
86,1997-07-07,8.75,1023600,WAT,3.7037037037037033
87,1997-07-14,8.53125,1163200,WAT,-2.5
88,1997-07-21,8.609375,1742400,WAT,0.9157509157509158
89,1997-07-28,8.8125,1616000,WAT,2.35934664246824
90,1997-08-04,8.796875,2884400,WAT,-0.17730496453900707
91,1997-08-11,8.5,1818800,WAT,-3.374777975133215
92,1997-08-18,8.03125,1910000,WAT,-5.514705882352941
93,1997-08-25,8.125,3268400,WAT,1.1673151750972766
94,1997-09-01,8.328125,2365600,WAT,2.5
95,1997-09-08,8.6875,3419200,WAT,4.315196998123828
96,1997-09-15,10.078125,2923200,WAT,16.007194244604314
97,1997-09-22,10.875,1394000,WAT,7.906976744186046
98,1997-09-29,11.0,1390800,WAT,1.1494252873563218
99,1997-10-06,11.5625,1656400,WAT,5.113636363636364
100,1997-10-13,11.59375,1348800,WAT,0.27027027027027034
101,1997-10-20,10.984375,3396800,WAT,-5.256064690026953
102,1997-10-27,11.65625,2632400,WAT,6.116642958748223
103,1997-11-03,11.0,1816400,WAT,-5.630026809651475
104,1997-11-10,10.1875,1002800,WAT,-7.3863636363636385
105,1997-11-17,10.046875,2031200,WAT,-1.3803680981595092
106,1997-11-24,10.71875,330800,WAT,6.6874027993779155
107,1997-12-01,10.671875,894400,WAT,-0.43731778425655976
108,1997-12-08,10.96875,908400,WAT,2.781844802342606
109,1997-12-15,10.234375,889600,WAT,-6.695156695156696
110,1997-12-22,9.75,1288400,WAT,-4.732824427480916
111,1997-12-29,9.0,4475200,WAT,-7.6923076923076925
112,1998-01-05,9.453125,2580000,WAT,5.034722222222222
113,1998-01-12,9.984375,2374800,WAT,5.619834710743802
114,1998-01-19,10.25,1283600,WAT,2.660406885758998
115,1998-01-26,10.703125,3795200,WAT,4.420731707317073
116,1998-02-02,11.46875,3158400,WAT,7.153284671532846
117,1998-02-09,11.8125,1482000,WAT,2.9972752043596733
118,1998-02-16,12.0,1463200,WAT,1.5873015873015872
119,1998-02-23,12.3125,1071200,WAT,2.604166666666667
120,1998-03-02,12.484375,1512800,WAT,1.3959390862944165
121,1998-03-09,11.875,3174400,WAT,-4.881101376720901
122,1998-03-16,12.375,2514000,WAT,4.2105263157894735
123,1998-03-23,12.734375,1582800,WAT,2.9040404040404035
124,1998-03-30,12.609375,1135200,WAT,-0.98159509202454
125,1998-04-06,12.78125,2212000,WAT,1.3630731102850062
126,1998-04-13,12.875,2547200,WAT,0.7334963325183373
127,1998-04-20,12.625,1506400,WAT,-1.9417475728155338
128,1998-04-27,12.765625,2401200,WAT,1.1138613861386137
129,1998-05-04,13.53125,1085600,WAT,5.997552019583843
130,1998-05-11,13.5625,3021600,WAT,0.23094688221709012
131,1998-05-18,14.390625,2912800,WAT,6.105990783410138
132,1998-05-25,14.59375,2414400,WAT,1.4115092290988056
133,1998-06-01,14.59375,3043600,WAT,0.0
134,1998-06-08,15.375,2438000,WAT,5.353319057815846
135,1998-06-15,15.109375,2536400,WAT,-1.7276422764227644
136,1998-06-22,14.53125,1949600,WAT,-3.826266804550155
137,1998-06-29,14.75,1770400,WAT,1.5053763440860215
138,1998-07-06,15.1875,2953600,WAT,2.9661016949152543
139,1998-07-13,16.015625,2502800,WAT,5.4526748971193415
140,1998-07-20,16.984375,3317200,WAT,6.048780487804877
141,1998-07-27,15.78125,3094800,WAT,-7.083716651333946
142,1998-08-03,15.984375,3347600,WAT,1.2871287128712872
143,1998-08-10,15.03125,1338800,WAT,-5.962854349951125
144,1998-08-17,14.796875,2560800,WAT,-1.559251559251559
145,1998-08-24,15.765625,3264400,WAT,6.546990496304117
146,1998-08-31,14.40625,3320000,WAT,-8.622398414271558
147,1998-09-07,14.59375,4305200,WAT,1.3015184381778742
148,1998-09-14,15.75,2556400,WAT,7.922912205567452
149,1998-09-21,15.578125,2378400,WAT,-1.0912698412698412
150,1998-09-28,16.375,2524800,WAT,5.115346038114343
151,1998-10-05,16.4375,3943600,WAT,0.3816793893129771
152,1998-10-12,14.390625,2088800,WAT,-12.452471482889733
153,1998-10-19,15.265625,3230800,WAT,6.0803474484256235
154,1998-10-26,16.0625,3867600,WAT,5.220061412487206
155,1998-11-02,18.4375,5380000,WAT,14.785992217898833
156,1998-11-09,19.578125,3631200,WAT,6.186440677966103
157,1998-11-16,19.625,3210400,WAT,0.2394253790901836
158,1998-11-23,20.28125,3420000,WAT,3.343949044585987
159,1998-11-30,19.8125,2205600,WAT,-2.311248073959938
160,1998-12-07,19.9375,2356800,WAT,0.6309148264984227
161,1998-12-14,19.75,2072800,WAT,-0.9404388714733545
162,1998-12-21,20.34375,1801600,WAT,3.0063291139240507
163,1998-12-28,20.96875,1028400,WAT,3.0721966205837172
164,1999-01-04,21.84375,2785200,WAT,4.172876304023845
165,1999-01-11,20.34375,2954800,WAT,-6.866952789699571
166,1999-01-18,19.90625,3590400,WAT,-2.1505376344086025
167,1999-01-25,20.6875,4866000,WAT,3.924646781789639
168,1999-02-01,22.78125,3706800,WAT,10.120845921450153
169,1999-02-08,21.53125,1415200,WAT,-5.486968449931413
170,1999-02-15,21.5625,1168400,WAT,0.14513788098693758
171,1999-02-22,21.734375,4253600,WAT,0.7971014492753623
172,1999-03-01,23.015625,4890000,WAT,5.8950395398993525
173,1999-03-08,25.3125,2579200,WAT,9.979633401221996
174,1999-03-15,26.125,1835600,WAT,3.2098765432098766
175,1999-03-22,25.40625,2118400,WAT,-2.751196172248804
176,1999-03-29,25.328125,2223600,WAT,-0.3075030750307503
177,1999-04-05,26.9375,2692000,WAT,6.35410240592227
178,1999-04-12,27.390625,2138800,WAT,1.6821345707656612
179,1999-04-19,26.875,2537200,WAT,-1.8824871648602401
180,1999-04-26,27.25,4310400,WAT,1.3953488372093024
181,1999-05-03,26.28125,1996000,WAT,-3.555045871559633
182,1999-05-10,24.875,3630000,WAT,-5.35077288941736
183,1999-05-17,25.625,1709200,WAT,3.015075376884422
184,1999-05-24,24.765625,1672800,WAT,-3.353658536585366
185,1999-05-31,24.625,1364000,WAT,-0.5678233438485805
186,1999-06-07,25.125,1604400,WAT,2.030456852791878
187,1999-06-14,25.125,1260200,WAT,0.0
188,1999-06-21,26.25,1659200,WAT,4.477611940298507
