,date,open,volume,ticker,change
0,1993-01-25,4.25,9046600,WDC,
1,1993-02-01,4.5,4710400,WDC,5.882352941176471
2,1993-02-08,4.375,4168400,WDC,-2.7777777777777777
3,1993-02-15,4.5625,3312600,WDC,4.2857142857142865
4,1993-02-22,4.8125,4758800,WDC,5.47945205479452
5,1993-03-01,4.125,1978400,WDC,-14.285714285714285
6,1993-03-08,4.1875,2536400,WDC,1.5151515151515154
7,1993-03-15,4.0625,15094000,WDC,-2.985074626865672
8,1993-03-22,2.75,3493000,WDC,-32.30769230769231
9,1993-03-29,2.75,5301000,WDC,0.0
10,1993-04-05,2.5625,1501200,WDC,-6.8181818181818175
11,1993-04-12,2.3125,1675600,WDC,-9.75609756097561
12,1993-04-19,2.5,1987600,WDC,8.108108108108109
13,1993-04-26,2.4375,1284600,WDC,-2.5
14,1993-05-03,2.375,1729400,WDC,-2.564102564102564
15,1993-05-10,2.5625,1275400,WDC,7.894736842105263
16,1993-05-17,2.5625,1679000,WDC,0.0
17,1993-05-24,2.5,1701400,WDC,-2.4390243902439024
18,1993-05-31,2.5,780600,WDC,0.0
19,1993-06-07,2.375,2224000,WDC,-5.0
20,1993-06-14,2.3125,3500000,WDC,-2.631578947368421
21,1993-06-21,2.0,3144200,WDC,-13.513513513513514
22,1993-06-28,1.9375,1721000,WDC,-3.125
23,1993-07-05,1.9375,1606800,WDC,0.0
24,1993-07-12,1.9375,908400,WDC,0.0
25,1993-07-19,1.875,1304000,WDC,-3.225806451612903
26,1993-07-26,1.875,2838200,WDC,0.0
27,1993-08-02,2.0625,1997200,WDC,10.0
28,1993-08-09,2.5,6466600,WDC,21.21212121212121
29,1993-08-16,2.8125,4263000,WDC,12.5
30,1993-08-23,2.875,1702600,WDC,2.2222222222222228
31,1993-08-30,2.9375,1803800,WDC,2.1739130434782608
32,1993-09-06,2.625,1412800,WDC,-10.638297872340425
33,1993-09-13,2.5,796800,WDC,-4.761904761904762
34,1993-09-20,2.4375,1962200,WDC,-2.5
35,1993-09-27,2.5,1219400,WDC,2.564102564102564
36,1993-10-04,2.625,2671400,WDC,5.0
37,1993-10-11,2.5625,8752800,WDC,-2.380952380952381
38,1993-10-18,3.25,7984800,WDC,26.82926829268293
39,1993-10-25,3.875,4392400,WDC,19.230769230769234
40,1993-11-01,3.9375,4430800,WDC,1.6129032258064515
41,1993-11-08,3.875,8679000,WDC,-1.5873015873015872
42,1993-11-15,5.0625,5230600,WDC,30.64516129032258
43,1993-11-22,4.875,946400,WDC,-3.7037037037037033
44,1993-11-29,4.8125,4897400,WDC,-1.282051282051282
45,1993-12-06,4.875,1837200,WDC,1.2987012987012987
46,1993-12-13,4.75,3726000,WDC,-2.564102564102564
47,1993-12-20,4.875,2266600,WDC,2.631578947368421
48,1993-12-27,4.6875,1960000,WDC,-3.8461538461538463
49,1994-01-03,4.5625,8680600,WDC,-2.666666666666667
50,1994-01-10,5.6875,10667400,WDC,24.65753424657534
51,1994-01-17,6.375,5978400,WDC,12.087912087912088
52,1994-01-24,5.9375,3345400,WDC,-6.862745098039216
53,1994-01-31,6.0,11075800,WDC,1.0526315789473684
54,1994-02-07,5.6875,4442600,WDC,-5.208333333333334
55,1994-02-14,6.1875,6074800,WDC,8.791208791208792
56,1994-02-21,6.5625,8245800,WDC,6.060606060606061
57,1994-02-28,7.375,20408400,WDC,12.38095238095238
58,1994-03-07,8.875,6401600,WDC,20.33898305084746
59,1994-03-14,8.9375,7957000,WDC,0.7042253521126761
60,1994-03-21,9.9375,8613600,WDC,11.188811188811187
61,1994-03-28,8.875,7622600,WDC,-10.69182389937107
62,1994-04-04,7.75,11873200,WDC,-12.676056338028168
63,1994-04-11,8.75,11817600,WDC,12.903225806451612
64,1994-04-18,7.5625,9065600,WDC,-13.571428571428571
65,1994-04-25,7.8125,5931200,WDC,3.3057851239669414
66,1994-05-02,7.875,5832400,WDC,0.8
67,1994-05-09,8.0,11990400,WDC,1.5873015873015872
68,1994-05-16,6.5625,6935400,WDC,-17.96875
69,1994-05-23,6.875,3654000,WDC,4.761904761904762
70,1994-05-30,6.9375,5475400,WDC,0.9090909090909091
71,1994-06-06,7.375,5659400,WDC,6.306306306306306
72,1994-06-13,6.875,5259200,WDC,-6.779661016949152
73,1994-06-20,6.375,9342000,WDC,-7.2727272727272725
74,1994-06-27,5.9375,4697000,WDC,-6.862745098039216
75,1994-07-04,6.5,2784000,WDC,9.473684210526317
76,1994-07-11,7.0,6143600,WDC,7.6923076923076925
77,1994-07-18,7.3125,8287600,WDC,4.4642857142857135
78,1994-07-25,7.0625,6547800,WDC,-3.4188034188034186
79,1994-08-01,7.625,6510800,WDC,7.964601769911504
80,1994-08-08,7.625,3211800,WDC,0.0
81,1994-08-15,7.9375,3091800,WDC,4.0983606557377055
82,1994-08-22,7.8125,3546600,WDC,-1.574803149606299
83,1994-08-29,7.6875,3617400,WDC,-1.6
84,1994-09-05,7.25,2495800,WDC,-5.691056910569105
85,1994-09-12,7.3125,4497000,WDC,0.8620689655172413
86,1994-09-19,7.9375,2322400,WDC,8.547008547008547
87,1994-09-26,7.4375,2067600,WDC,-6.299212598425198
88,1994-10-03,7.4375,3135000,WDC,0.0
89,1994-10-10,7.125,8382000,WDC,-4.201680672268908
90,1994-10-17,8.0625,1966600,WDC,13.157894736842104
91,1994-10-24,7.875,2439400,WDC,-2.325581395348837
92,1994-10-31,8.3125,7508000,WDC,5.555555555555555
93,1994-11-07,8.75,2952800,WDC,5.263157894736842
94,1994-11-14,8.5,2935400,WDC,-2.8571428571428568
95,1994-11-21,8.875,2845800,WDC,4.411764705882353
96,1994-11-28,8.875,4489000,WDC,0.0
