,date,open,volume,ticker,change
0,1993-01-25,14.0,46100,WM,
1,1993-02-01,13.5,118500,WM,-3.571428571428571
2,1993-02-08,13.75,118800,WM,1.8518518518518516
3,1993-02-15,14.25,841500,WM,3.6363636363636362
4,1993-02-22,14.25,89100,WM,0.0
5,1993-03-01,14.125,107500,WM,-0.8771929824561403
6,1993-03-08,14.5,167100,WM,2.6548672566371683
7,1993-03-15,14.5,82600,WM,0.0
8,1993-03-22,13.75,99900,WM,-5.172413793103448
9,1993-03-29,13.25,196600,WM,-3.6363636363636362
10,1993-04-05,13.75,167600,WM,3.7735849056603774
11,1993-04-12,13.75,86000,WM,0.0
12,1993-04-19,13.5,53100,WM,-1.8181818181818181
13,1993-04-26,13.5,90700,WM,0.0
14,1993-05-03,12.25,31900,WM,-9.25925925925926
15,1993-05-10,12.75,37900,WM,4.081632653061224
16,1993-05-17,12.75,62900,WM,0.0
17,1993-05-24,12.25,65700,WM,-3.9215686274509802
18,1993-05-31,12.0,54800,WM,-2.040816326530612
19,1993-06-07,12.0,112500,WM,0.0
20,1993-06-14,12.75,168800,WM,6.25
21,1993-06-21,11.75,263400,WM,-7.8431372549019605
22,1993-06-28,13.0,173600,WM,10.638297872340425
23,1993-07-05,13.0,141100,WM,0.0
24,1993-07-12,14.0,352500,WM,7.6923076923076925
25,1993-07-19,14.75,48500,WM,5.357142857142857
26,1993-07-26,14.0,42300,WM,-5.084745762711865
27,1993-08-02,13.5,45800,WM,-3.571428571428571
28,1993-08-09,12.875,56000,WM,-4.629629629629629
29,1993-08-16,12.25,34300,WM,-4.854368932038835
30,1993-08-23,12.0,73700,WM,-2.040816326530612
31,1993-08-30,12.0,158800,WM,0.0
32,1993-09-06,12.75,118000,WM,6.25
33,1993-09-13,12.875,28900,WM,0.9803921568627451
34,1993-09-20,12.625,96900,WM,-1.9417475728155338
35,1993-09-27,11.875,120400,WM,-5.9405940594059405
36,1993-10-04,12.25,36700,WM,3.157894736842105
37,1993-10-11,12.25,66200,WM,0.0
38,1993-10-18,12.125,235900,WM,-1.020408163265306
39,1993-10-25,10.875,120800,WM,-10.309278350515463
40,1993-11-01,10.875,58300,WM,0.0
41,1993-11-08,10.25,165400,WM,-5.747126436781609
42,1993-11-15,10.25,144400,WM,0.0
43,1993-11-22,10.375,44500,WM,1.2195121951219512
44,1993-11-29,10.375,76800,WM,0.0
45,1993-12-06,11.625,60500,WM,12.048192771084334
46,1993-12-13,11.875,55600,WM,2.1505376344086025
47,1993-12-20,11.75,51200,WM,-1.0526315789473684
48,1993-12-27,10.875,75400,WM,-7.446808510638298
49,1994-01-03,11.375,127800,WM,4.597701149425286
50,1994-01-10,12.25,252000,WM,7.6923076923076925
51,1994-01-17,11.625,887900,WM,-5.102040816326531
52,1994-01-24,14.5,624800,WM,24.731182795698924
53,1994-01-31,14.125,239200,WM,-2.586206896551724
54,1994-02-07,13.75,24600,WM,-2.6548672566371683
55,1994-02-14,13.375,72100,WM,-2.7272727272727266
56,1994-02-21,12.875,94100,WM,-3.7383177570093453
57,1994-02-28,13.0,126500,WM,0.9708737864077669
58,1994-03-07,13.125,64900,WM,0.9615384615384616
59,1994-03-14,12.875,135600,WM,-1.9047619047619049
60,1994-03-21,13.375,141100,WM,3.8834951456310685
61,1994-03-28,13.625,96400,WM,1.8691588785046727
62,1994-04-04,12.5,67800,WM,-8.256880733944955
63,1994-04-11,13.0,209200,WM,4.0
64,1994-04-18,12.125,269200,WM,-6.730769230769231
65,1994-04-25,12.75,62500,WM,5.154639175257731
66,1994-05-02,12.25,72400,WM,-3.9215686274509802
67,1994-05-09,11.875,57100,WM,-3.061224489795918
68,1994-05-16,11.5,24400,WM,-3.157894736842105
69,1994-05-23,11.25,74600,WM,-2.1739130434782608
70,1994-05-30,11.625,85700,WM,3.3333333333333335
71,1994-06-06,11.375,191700,WM,-2.1505376344086025
72,1994-06-13,11.25,158100,WM,-1.098901098901099
73,1994-06-20,10.5,257100,WM,-6.666666666666668
74,1994-06-27,10.875,305900,WM,3.571428571428571
75,1994-07-04,11.625,308300,WM,6.896551724137931
76,1994-07-11,11.625,363700,WM,0.0
77,1994-07-18,12.0,547400,WM,3.225806451612903
78,1994-07-25,11.875,519300,WM,-1.0416666666666665
79,1994-08-01,13.125,367700,WM,10.526315789473683
80,1994-08-08,13.5,289500,WM,2.8571428571428568
81,1994-08-15,13.25,278700,WM,-1.8518518518518516
82,1994-08-22,13.875,182300,WM,4.716981132075472
83,1994-08-29,14.125,402400,WM,1.8018018018018014
84,1994-09-05,14.875,377600,WM,5.3097345132743365
85,1994-09-12,14.875,461900,WM,0.0
86,1994-09-19,14.75,513200,WM,-0.8403361344537815
87,1994-09-26,14.625,448700,WM,-0.847457627118644
88,1994-10-03,14.875,337800,WM,1.7094017094017095
89,1994-10-10,14.0,300000,WM,-5.882352941176471
90,1994-10-17,14.5,317500,WM,3.571428571428571
91,1994-10-24,14.25,306300,WM,-1.7241379310344827
92,1994-10-31,13.375,191400,WM,-6.140350877192983
93,1994-11-07,14.125,224300,WM,5.6074766355140175
94,1994-11-14,14.25,537800,WM,0.8849557522123894
95,1994-11-21,14.0,81800,WM,-1.7543859649122806
96,1994-11-28,12.0,1264600,WM,-14.285714285714285
97,1994-12-05,11.625,258100,WM,-3.125
98,1994-12-12,11.125,311300,WM,-4.301075268817205
99,1994-12-19,11.25,358600,WM,1.1235955056179776
100,1994-12-26,11.125,263500,WM,-1.1111111111111114
101,1995-01-02,11.5,77400,WM,3.3707865168539324
102,1995-01-09,11.125,104200,WM,-3.260869565217391
103,1995-01-16,11.625,362000,WM,4.49438202247191
104,1995-01-23,11.75,356700,WM,1.0752688172043012
105,1995-01-30,12.0,630000,WM,2.127659574468085
106,1995-02-06,12.375,312900,WM,3.125
107,1995-02-13,11.875,216800,WM,-4.0404040404040416
108,1995-02-20,11.375,306200,WM,-4.2105263157894735
109,1995-02-27,11.0,319100,WM,-3.296703296703297
110,1995-03-06,11.0,407500,WM,0.0
111,1995-03-13,10.625,1238000,WM,-3.4090909090909087
112,1995-03-20,10.625,829000,WM,0.0
113,1995-03-27,11.875,316800,WM,11.76470588235294
114,1995-04-03,12.0,851800,WM,1.0526315789473684
115,1995-04-10,12.0,1974700,WM,0.0
116,1995-04-17,14.0,1112500,WM,16.666666666666664
117,1995-04-24,14.375,1290900,WM,2.6785714285714284
118,1995-05-01,14.875,581600,WM,3.4782608695652173
119,1995-05-08,15.0,1855300,WM,0.8403361344537815
120,1995-05-15,15.375,870500,WM,2.5
121,1995-05-22,15.375,546300,WM,0.0
122,1995-05-29,14.875,1044100,WM,-3.2520325203252036
123,1995-06-05,14.75,593100,WM,-0.8403361344537815
124,1995-06-12,14.875,458400,WM,0.847457627118644
125,1995-06-19,14.875,442700,WM,0.0
126,1995-06-26,15.375,618800,WM,3.361344537815126
127,1995-07-03,15.5,479200,WM,0.8130081300813009
128,1995-07-10,15.0,1005500,WM,-3.225806451612903
129,1995-07-17,15.375,1456900,WM,2.5
130,1995-07-24,17.375,1559000,WM,13.008130081300814
131,1995-07-31,18.0,2018200,WM,3.597122302158273
132,1995-08-07,20.0,1000900,WM,11.11111111111111
133,1995-08-14,19.75,3404500,WM,-1.25
134,1995-08-21,21.625,1391300,WM,9.49367088607595
135,1995-08-28,20.75,1159700,WM,-4.046242774566474
136,1995-09-04,19.5,733400,WM,-6.024096385542169
137,1995-09-11,20.375,713300,WM,4.487179487179487
138,1995-09-18,19.5,805400,WM,-4.294478527607362
139,1995-09-25,19.25,465900,WM,-1.282051282051282
140,1995-10-02,19.375,4310000,WM,0.6493506493506493
141,1995-10-09,20.375,1053200,WM,5.161290322580645
142,1995-10-16,20.875,881000,WM,2.4539877300613497
143,1995-10-23,20.25,962600,WM,-2.994011976047904
144,1995-10-30,20.875,1280800,WM,3.08641975308642
145,1995-11-06,21.25,1047200,WM,1.7964071856287425
146,1995-11-13,21.875,1472400,WM,2.9411764705882355
147,1995-11-20,20.5,544700,WM,-6.2857142857142865
148,1995-11-27,20.375,690800,WM,-0.6097560975609756
149,1995-12-04,20.875,1032800,WM,2.4539877300613497
150,1995-12-11,20.0,1876100,WM,-4.191616766467066
151,1995-12-18,19.5,5855100,WM,-2.5
152,1995-12-25,17.75,1450200,WM,-8.974358974358974
153,1996-01-01,18.75,1286300,WM,5.633802816901409
154,1996-01-08,17.875,658500,WM,-4.666666666666667
155,1996-01-15,18.0,1301800,WM,0.6993006993006993
156,1996-01-22,17.875,2554900,WM,-0.6944444444444444
157,1996-01-29,20.875,1229800,WM,16.783216783216783
158,1996-02-05,20.5,819300,WM,-1.7964071856287425
159,1996-02-12,20.625,315100,WM,0.6097560975609756
160,1996-02-19,20.125,780700,WM,-2.424242424242424
161,1996-02-26,20.375,1723600,WM,1.2422360248447204
162,1996-03-04,21.75,2687800,WM,6.748466257668713
163,1996-03-11,23.25,1285000,WM,6.896551724137931
164,1996-03-18,24.125,914200,WM,3.763440860215054
165,1996-03-25,23.875,1734200,WM,-1.0362694300518136
166,1996-04-01,26.0,1373700,WM,8.900523560209423
167,1996-04-08,24.75,1688900,WM,-4.807692307692308
168,1996-04-15,25.5,1204600,WM,3.0303030303030307
169,1996-04-22,24.5,1721600,WM,-3.9215686274509802
170,1996-04-29,24.625,2530800,WM,0.510204081632653
171,1996-05-06,26.0,2615800,WM,5.583756345177665
172,1996-05-13,26.375,3636300,WM,1.4423076923076925
173,1996-05-20,28.875,1314000,WM,9.47867298578199
174,1996-05-27,29.25,850500,WM,1.2987012987012987
175,1996-06-03,29.625,1919500,WM,1.282051282051282
176,1996-06-10,31.75,1477900,WM,7.172995780590717
177,1996-06-17,31.75,1472500,WM,0.0
178,1996-06-24,27.875,3911600,WM,-12.204724409448819
179,1996-07-01,30.0,1061100,WM,7.623318385650224
180,1996-07-08,28.375,1607800,WM,-5.416666666666667
181,1996-07-15,26.875,2277300,WM,-5.286343612334802
182,1996-07-22,26.25,1573100,WM,-2.325581395348837
183,1996-07-29,24.875,987800,WM,-5.238095238095238
184,1996-08-05,25.875,1414700,WM,4.0201005025125625
185,1996-08-12,28.0,2077800,WM,8.212560386473431
186,1996-08-19,28.25,950500,WM,0.8928571428571428
187,1996-08-26,28.5,1388900,WM,0.8849557522123894
188,1996-09-02,27.875,2248000,WM,-2.192982456140351
189,1996-09-09,28.375,4393500,WM,1.7937219730941705
190,1996-09-16,30.625,2798500,WM,7.929515418502202
191,1996-09-23,31.875,2997200,WM,4.081632653061224
192,1996-09-30,32.125,2347200,WM,0.7843137254901958
193,1996-10-07,33.5,1727900,WM,4.280155642023345
194,1996-10-14,32.75,1028500,WM,-2.2388059701492535
195,1996-10-21,31.25,1233000,WM,-4.580152671755725
196,1996-10-28,32.5,896300,WM,4.0
197,1996-11-04,33.0,1936400,WM,1.5384615384615383
198,1996-11-11,32.25,2191900,WM,-2.272727272727273
199,1996-11-18,33.75,1747300,WM,4.651162790697674
200,1996-11-25,33.5,541300,WM,-0.7407407407407408
201,1996-12-02,32.25,1575200,WM,-3.7313432835820883
202,1996-12-09,32.375,1466500,WM,0.38759689922480617
203,1996-12-16,31.5,1832100,WM,-2.702702702702703
204,1996-12-23,29.75,1073500,WM,-5.555555555555555
205,1996-12-30,30.25,1588100,WM,1.680672268907563
206,1997-01-06,29.5,2918100,WM,-2.4793388429752072
207,1997-01-13,31.25,4389000,WM,5.932203389830509
208,1997-01-20,32.75,3851300,WM,4.8
209,1997-01-27,35.375,3958000,WM,8.015267175572518
210,1997-02-03,36.5,10359000,WM,3.180212014134275
211,1997-02-10,35.375,3646200,WM,-3.0821917808219177
212,1997-02-17,34.875,2882000,WM,-1.4134275618374559
213,1997-02-24,35.5,1640700,WM,1.7921146953405016
214,1997-03-03,35.75,3461600,WM,0.7042253521126761
215,1997-03-10,37.75,2497000,WM,5.594405594405593
216,1997-03-17,38.0,1658300,WM,0.6622516556291391
217,1997-03-24,37.25,954800,WM,-1.973684210526316
218,1997-03-31,36.5,2169300,WM,-2.013422818791946
219,1997-04-07,35.625,1338300,WM,-2.3972602739726026
220,1997-04-14,31.75,10737800,WM,-10.877192982456139
221,1997-04-21,33.5,4970700,WM,5.511811023622047
222,1997-04-28,30.625,3526800,WM,-8.582089552238806
223,1997-05-05,33.75,3704200,WM,10.20408163265306
224,1997-05-12,34.125,4715800,WM,1.1111111111111114
225,1997-05-19,36.25,2941500,WM,6.227106227106227
226,1997-05-26,35.875,1753000,WM,-1.0344827586206895
227,1997-06-02,36.5,4576200,WM,1.7421602787456445
228,1997-06-09,39.0,4034400,WM,6.8493150684931505
229,1997-06-16,37.625,4459400,WM,-3.5256410256410255
230,1997-06-23,36.625,3294000,WM,-2.6578073089701
231,1997-06-30,37.75,1754100,WM,3.071672354948805
232,1997-07-07,38.75,3852400,WM,2.6490066225165565
233,1997-07-14,40.0,3555500,WM,3.225806451612903
234,1997-07-21,40.75,1600500,WM,1.875
235,1997-07-28,40.75,2601300,WM,0.0
236,1997-08-04,39.8125,3456500,WM,-2.3006134969325154
237,1997-08-11,42.125,2975100,WM,5.808477237048665
238,1997-08-18,39.9375,4853200,WM,-5.192878338278932
239,1997-08-25,41.5,4524200,WM,3.912363067292645
240,1997-09-01,42.25,4653000,WM,1.8072289156626502
241,1997-09-08,41.9375,3759400,WM,-0.7396449704142011
242,1997-09-15,42.75,5342000,WM,1.9374068554396426
243,1997-09-22,41.875,3603800,WM,-2.046783625730994
244,1997-09-29,39.875,3413500,WM,-4.776119402985075
245,1997-10-06,39.125,4351800,WM,-1.880877742946709
246,1997-10-13,39.6875,2633900,WM,1.437699680511182
247,1997-10-20,40.25,5592600,WM,1.417322834645669
248,1997-10-27,36.875,5812300,WM,-8.385093167701864
249,1997-11-03,37.625,4238400,WM,2.0338983050847457
250,1997-11-10,36.8125,4167600,WM,-2.1594684385382057
251,1997-11-17,36.0,3820800,WM,-2.2071307300509337
252,1997-11-24,34.9375,3997200,WM,-2.951388888888889
253,1997-12-01,33.1875,7118500,WM,-5.008944543828265
254,1997-12-08,35.75,7260400,WM,7.721280602636535
255,1997-12-15,39.375,5183400,WM,10.13986013986014
256,1997-12-22,38.6875,654900,WM,-1.746031746031746
257,1997-12-29,37.875,1919100,WM,-2.10016155088853
258,1998-01-05,38.5,3533800,WM,1.65016501650165
259,1998-01-12,36.0,5151100,WM,-6.493506493506493
260,1998-01-19,37.125,5204300,WM,3.125
261,1998-01-26,35.0,5518600,WM,-5.723905723905723
262,1998-02-02,36.75,9994100,WM,5.0
263,1998-02-09,35.875,9071800,WM,-2.380952380952381
264,1998-02-16,37.9375,2475100,WM,5.7491289198606275
265,1998-02-23,37.875,9318000,WM,-0.16474464579901152
266,1998-03-02,41.0,5971300,WM,8.25082508250825
267,1998-03-09,38.375,29277400,WM,-6.402439024390244
268,1998-03-16,45.0,5709900,WM,17.263843648208468
269,1998-03-23,45.375,4617000,WM,0.8333333333333334
270,1998-03-30,45.6875,5217900,WM,0.6887052341597797
271,1998-04-06,47.5625,3078100,WM,4.1039671682626535
272,1998-04-13,46.5,5110400,WM,-2.2339027595269383
273,1998-04-20,48.4375,3426600,WM,4.166666666666666
274,1998-04-27,47.0,6022200,WM,-2.9677419354838714
275,1998-05-04,48.9375,5521800,WM,4.122340425531915
276,1998-05-11,49.25,4975800,WM,0.6385696040868455
277,1998-05-18,48.0625,4015300,WM,-2.411167512690356
278,1998-05-25,46.625,3368400,WM,-2.9908972691807536
279,1998-06-01,47.0,4245000,WM,0.8042895442359249
280,1998-06-08,47.0,3147500,WM,0.0
281,1998-06-15,47.0,4043400,WM,0.0
282,1998-06-22,46.6875,4035800,WM,-0.6648936170212766
283,1998-06-29,47.625,4428200,WM,2.008032128514056
284,1998-07-06,48.625,5299400,WM,2.099737532808399
285,1998-07-13,53.5,19960200,WM,10.025706940874036
286,1998-07-20,57.625,13452400,WM,7.710280373831775
287,1998-07-27,53.9375,16722800,WM,-6.399132321041215
288,1998-08-03,55.125,12121200,WM,2.20162224797219
289,1998-08-10,53.625,8588700,WM,-2.7210884353741496
290,1998-08-17,52.0,13319700,WM,-3.0303030303030307
291,1998-08-24,52.25,10197400,WM,0.4807692307692308
292,1998-08-31,46.625,11365900,WM,-10.76555023923445
293,1998-09-07,46.0,7253900,WM,-1.3404825737265416
294,1998-09-14,47.875,6389100,WM,4.076086956521738
295,1998-09-21,45.0,7767800,WM,-6.005221932114883
296,1998-09-28,49.125,5809000,WM,9.166666666666666
297,1998-10-05,46.9375,31982600,WM,-4.452926208651401
298,1998-10-12,42.75,13410300,WM,-8.921438082556593
299,1998-10-19,42.0,7791600,WM,-1.7543859649122806
300,1998-10-26,45.0,7683400,WM,7.142857142857142
301,1998-11-02,45.125,13650300,WM,0.27777777777777785
302,1998-11-09,46.25,13624700,WM,2.4930747922437675
303,1998-11-16,47.5625,11853700,WM,2.837837837837838
304,1998-11-23,45.125,7932800,WM,-5.124835742444152
305,1998-11-30,43.875,14276700,WM,-2.7700831024930745
306,1998-12-07,44.625,9777900,WM,1.7094017094017095
307,1998-12-14,44.875,8668400,WM,0.5602240896358543
308,1998-12-21,43.5,4102100,WM,-3.0640668523676884
309,1998-12-28,44.6875,6046700,WM,2.7298850574712645
310,1999-01-04,48.75,18453400,WM,9.090909090909092
311,1999-01-11,51.5,10264200,WM,5.641025641025641
312,1999-01-18,52.75,7334200,WM,2.4271844660194173
313,1999-01-25,49.375,10546300,WM,-6.398104265402843
314,1999-02-01,50.25,10590000,WM,1.7721518987341773
315,1999-02-08,51.8125,10368200,WM,3.109452736318408
316,1999-02-15,51.375,8611900,WM,-0.8443908323281063
317,1999-02-22,48.0,17987200,WM,-6.569343065693431
318,1999-03-01,48.25,14019800,WM,0.5208333333333333
319,1999-03-08,50.0,11084600,WM,3.6269430051813467
320,1999-03-15,49.0,12539100,WM,-2.0
321,1999-03-22,47.75,12828000,WM,-2.5510204081632653
322,1999-03-29,43.3125,14718300,WM,-9.293193717277488
323,1999-04-05,47.25,11786700,WM,9.090909090909092
324,1999-04-12,46.0,16983200,WM,-2.6455026455026456
325,1999-04-19,50.5,12809600,WM,9.782608695652174
326,1999-04-26,53.0,15592200,WM,4.950495049504951
327,1999-05-03,56.4375,31518700,WM,6.485849056603773
328,1999-05-10,56.0,13179900,WM,-0.7751937984496123
329,1999-05-17,56.5,11292900,WM,0.8928571428571428
330,1999-05-24,53.3125,11585700,WM,-5.6415929203539825
331,1999-05-31,52.625,9400900,WM,-1.2895662368112544
332,1999-06-07,55.5625,7306700,WM,5.581947743467933
333,1999-06-14,55.5,11138500,WM,-0.11248593925759279
334,1999-06-21,57.375,7478100,WM,3.378378378378378
335,1999-06-28,55.375,9189400,WM,-3.485838779956427
336,1999-07-05,54.875,112419000,WM,-0.9029345372460496
337,1999-07-12,33.0,67854300,WM,-39.863325740318906
338,1999-07-19,36.5,17638600,WM,10.606060606060606
339,1999-07-26,33.75,68630700,WM,-7.534246575342466
340,1999-08-02,25.6875,50712700,WM,-23.88888888888889
341,1999-08-09,24.0,20953800,WM,-6.569343065693431
342,1999-08-16,22.8125,23209300,WM,-4.947916666666666
343,1999-08-23,23.5,12273700,WM,3.0136986301369864
344,1999-08-30,22.625,16617000,WM,-3.723404255319149
345,1999-09-06,21.0,13333500,WM,-7.18232044198895
346,1999-09-13,20.5625,14214900,WM,-2.083333333333333
347,1999-09-20,20.0,15487900,WM,-2.735562310030395
348,1999-09-27,19.6875,17069800,WM,-1.5625
349,1999-10-04,19.25,17122600,WM,-2.2222222222222228
350,1999-10-11,17.8125,22390700,WM,-7.467532467532467
351,1999-10-18,17.0625,29238100,WM,-4.2105263157894735
352,1999-10-25,17.125,15828500,WM,0.36630036630036633
353,1999-11-01,18.375,10863000,WM,7.2992700729927
354,1999-11-08,18.25,24306900,WM,-0.6802721088435374
355,1999-11-15,16.5,12687000,WM,-9.58904109589041
356,1999-11-22,16.25,11174100,WM,-1.5151515151515154
357,1999-11-29,16.125,13875800,WM,-0.7692307692307694
358,1999-12-06,15.5,18208300,WM,-3.875968992248062
359,1999-12-13,15.0625,14524600,WM,-2.8225806451612905
360,1999-12-20,14.5625,11238500,WM,-3.319502074688797
361,1999-12-27,14.75,22310900,WM,1.2875536480686696
362,2000-01-03,17.75,16136500,WM,20.33898305084746
363,2000-01-10,16.875,8815900,WM,-4.929577464788732
364,2000-01-17,16.875,7849100,WM,0.0
365,2000-01-24,16.75,15148700,WM,-0.7407407407407408
366,2000-01-31,17.75,16171500,WM,5.970149253731343
367,2000-02-07,17.8125,23626200,WM,0.35211267605633806
368,2000-02-14,14.5625,15101300,WM,-18.24561403508772
369,2000-02-21,15.75,13942300,WM,8.15450643776824
370,2000-02-28,15.3125,12307000,WM,-2.7777777777777777
371,2000-03-06,14.625,13961200,WM,-4.489795918367346
372,2000-03-13,13.9375,18536000,WM,-4.700854700854702
373,2000-03-20,14.0,13886400,WM,0.4484304932735426
374,2000-03-27,13.5,20122300,WM,-3.571428571428571
375,2000-04-03,13.875,12901700,WM,2.7777777777777777
376,2000-04-10,15.0625,11808400,WM,8.558558558558559
377,2000-04-17,13.8125,9242200,WM,-8.29875518672199
378,2000-04-24,14.0,13110800,WM,1.3574660633484164
379,2000-05-01,16.0625,8530500,WM,14.732142857142858
380,2000-05-08,15.625,20676200,WM,-2.723735408560312
381,2000-05-15,18.9375,9053600,WM,21.2
382,2000-05-22,18.375,11920300,WM,-2.9702970297029703
383,2000-05-29,20.125,9360600,WM,9.523809523809524
384,2000-06-05,19.4375,6921900,WM,-3.4161490683229814
385,2000-06-12,19.25,9239400,WM,-0.964630225080386
